Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample1	6.20E+00	1.07E+01	7.19E+00	9.88E+00	3.72E+00
Sample2	6.25E-01	4.78E+00	3.10E+00	1.14E+00	4.46E+00
Sample3	2.06E+00	4.73E+00	3.38E+00	2.00E+00	5.28E+00
Sample4	0.00E+00	3.49E+00	1.02E+01	8.63E+00	1.92E+00
Sample5	2.18E+00	5.62E+00	5.22E+00	4.46E+00	1.50E+00
Sample6	2.12E+00	2.75E+00	7.70E+00	9.43E+00	2.73E+00
Sample7	4.33E+00	7.04E+00	6.57E+00	6.75E+00	4.43E+00
Sample8	2.37E+00	8.55E+00	3.12E+00	9.15E-01	6.92E+00
Sample9	2.58E+00	6.84E+00	7.16E+00	2.24E+00	1.97E+00
Sample10	1.13E+00	2.80E+00	2.69E+00	1.80E+00	2.79E+00
Sample11	0.00E+00	2.82E+00	1.12E+01	9.17E+00	0.00E+00
Sample12	2.61E+00	8.15E+00	5.19E+00	1.86E+00	4.16E+00
Sample13	1.59E+00	3.47E+00	1.98E+00	0.00E+00	3.46E+00
Sample14	3.00E+00	4.26E+00	4.89E+00	6.66E+00	6.84E+00
Sample15	7.89E-01	5.66E+00	6.65E+00	6.93E+00	3.83E+00
Sample16	1.87E+00	1.39E+00	1.30E+01	1.20E+01	5.00E-01
Sample17	4.44E+00	6.77E+00	0.00E+00	4.18E+00	0.00E+00
Sample18	4.72E+00	8.24E+00	9.49E+00	1.12E+01	6.69E+00
Sample19	2.45E+00	2.87E+00	4.83E+00	1.90E+00	4.85E+00
Sample20	1.86E+00	4.62E+00	2.00E+00	0.00E+00	4.02E+00
Sample21	1.68E+00	3.85E+00	2.55E+00	1.48E+00	4.03E+00
Sample22	2.58E+00	5.06E+00	2.02E+00	2.20E+00	4.92E+00
Sample23	3.79E+00	5.52E+00	1.53E+01	1.48E+01	6.55E-01
Sample24	0.00E+00	2.78E+00	6.75E+00	6.87E+00	2.75E+00
Sample25	1.45E+00	2.98E+00	2.89E+00	1.78E+00	4.23E+00
Sample26	3.43E+00	5.15E+00	5.63E+00	2.36E+00	3.03E+00
Sample27	7.89E-01	4.89E+00	3.53E+00	2.34E+00	4.88E+00
Sample28	1.39E+00	6.88E+00	1.49E+00	0.00E+00	7.73E+00
Sample29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample30	1.90E+00	4.73E+00	5.60E+00	5.31E+00	3.47E+00
Sample31	1.65E+00	3.30E+00	3.77E+00	4.75E+00	5.69E+00
Sample32	1.39E+00	3.84E+00	1.48E+00	2.35E+00	5.13E+00
Sample33	3.61E+00	5.22E+00	7.59E+00	8.72E+00	9.05E+00
Sample34	1.90E+00	4.86E+00	8.75E-01	8.75E-01	5.18E+00
Sample35	0.00E+00	6.85E+00	3.77E+00	2.75E+00	4.95E+00
Sample36	1.13E+00	3.11E+00	3.40E+00	2.22E+00	2.51E+00
Sample37	2.91E+00	4.95E+00	3.75E+00	1.97E+00	4.44E+00
Sample38	1.25E+00	4.41E+00	4.14E+00	3.06E+00	5.59E+00
Sample39	3.68E+00	3.45E+00	1.45E+01	1.46E+01	0.00E+00
Sample40	1.44E+00	5.04E+00	3.25E+00	5.00E-01	4.35E+00
Sample41	3.30E+00	4.96E+00	5.94E+00	7.30E+00	3.32E+00
Sample42	1.23E+00	1.37E+00	1.37E+00	2.22E+00	2.68E+00
Sample43	1.32E+00	0.00E+00	1.12E+00	8.75E-01	0.00E+00
Sample44	1.25E-01	2.30E+00	1.23E+01	1.27E+01	2.91E+00
Sample45	3.03E+00	4.98E+00	9.20E+00	9.16E+00	4.39E+00
Sample46	1.00E+00	4.16E+00	1.04E+01	1.09E+01	1.04E+00
Sample47	1.50E+00	2.24E+00	1.89E+00	5.00E-01	1.36E+00
Sample48	1.02E+00	3.75E-01	1.00E+00	0.00E+00	0.00E+00
Sample49	2.88E+00	4.32E+00	1.69E+00	1.54E+00	4.59E+00
Sample50	3.74E+00	2.68E+00	1.00E+00	2.66E+00	3.27E+00
Sample51	1.12E+00	5.51E+00	4.32E+00	0.00E+00	4.11E+00
Sample52	2.39E+00	2.80E+00	2.07E+00	4.44E+00	3.95E+00
Sample53	8.75E-01	8.75E-01	0.00E+00	0.00E+00	0.00E+00
Sample54	2.05E+00	3.38E+00	1.36E+00	0.00E+00	3.80E+00
Sample55	4.46E+00	6.98E+00	7.09E+00	1.10E+00	3.79E+00
Sample56	8.75E-01	5.21E+00	4.78E+00	3.48E+00	5.20E+00
Sample57	3.75E-01	3.53E+00	3.69E+00	2.00E+00	3.43E+00
Sample58	2.01E+00	5.12E+00	4.93E+00	3.31E+00	3.94E+00
Sample59	3.92E+00	5.53E+00	1.04E+01	8.15E+00	1.37E+00
Sample60	8.85E-01	2.64E+00	1.99E+00	3.21E+00	4.15E+00
Sample61	1.96E+00	6.02E+00	4.74E+00	3.00E+00	3.74E+00
Sample62	3.26E+00	4.29E+00	1.07E+01	8.11E+00	2.50E-01
Sample63	7.50E-01	2.32E+00	2.29E+00	0.00E+00	2.47E+00
Sample64	1.59E+00	5.81E+00	9.32E+00	7.98E+00	2.63E+00
Sample65	4.19E+00	1.03E+01	1.12E+01	3.22E+00	7.30E+00
Sample66	1.13E+00	2.05E+00	1.72E+00	1.84E+00	2.96E+00
Sample67	2.52E+00	4.04E+00	5.00E-01	8.75E-01	3.82E+00
Sample68	1.19E+00	4.40E+00	8.95E+00	1.14E+01	3.52E+00
Sample69	1.81E+00	4.17E+00	1.62E+00	3.00E+00	4.81E+00
Sample70	7.56E-01	2.40E+00	2.63E+00	4.51E+00	2.91E+00
Sample71	3.22E+00	2.20E+00	1.58E+00	2.16E+00	3.79E+00
Sample72	2.35E+00	3.97E+00	3.81E+00	1.32E+00	6.26E+00
Sample73	7.50E-01	7.80E+00	4.76E+00	2.25E+00	7.77E+00
Sample74	1.37E+00	1.64E+00	3.02E+00	0.00E+00	3.42E+00
Sample75	2.27E+00	2.38E+00	3.49E+00	1.74E+00	3.08E+00
Sample76	1.75E+00	6.15E+00	3.44E+00	1.01E+00	6.94E+00
Sample77	5.98E+00	3.00E+00	1.55E+01	1.56E+01	1.45E+00
Sample78	3.75E-01	4.01E+00	1.17E+01	1.03E+01	2.65E+00
Sample79	1.09E+00	3.43E+00	1.34E+01	1.08E+01	0.00E+00
Sample80	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Sample81	3.31E+00	2.72E+00	7.50E-01	3.91E+00	3.67E+00
Sample82	1.39E+00	5.71E+00	5.07E+00	2.14E+00	4.91E+00
Sample83	1.21E+00	1.37E+00	1.21E+01	1.13E+01	1.25E-01
Sample84	1.48E+00	4.39E+00	1.14E+01	1.08E+01	1.80E+00
Sample85	0.00E+00	0.00E+00	1.18E+01	1.18E+01	0.00E+00
Sample86	3.06E+00	3.17E+00	8.52E+00	7.05E+00	7.56E-01
Sample87	2.56E+00	2.38E+00	2.41E+00	0.00E+00	3.75E+00
Sample88	9.90E-01	3.78E+00	5.09E+00	4.99E+00	2.61E+00
Sample89	0.00E+00	5.49E+00	3.07E+00	1.86E+00	4.70E+00
Sample90	2.49E+00	4.89E+00	3.26E+00	0.00E+00	6.10E+00
Sample91	1.62E+00	3.87E+00	2.47E+00	4.08E+00	5.33E+00
Sample92	1.00E+00	5.70E+00	4.99E+00	1.23E+00	5.71E+00
Sample93	7.56E-01	3.96E+00	3.78E+00	3.06E+00	6.51E+00
Sample94	5.09E+00	3.10E+00	5.96E+00	1.64E+00	1.64E+00
Sample95	1.28E+00	6.08E+00	1.16E+00	1.18E+00	5.10E+00
Sample96	2.71E+00	3.68E+00	1.00E+00	1.90E+00	2.74E+00
Sample97	1.00E+00	2.43E+00	1.61E+00	1.15E+00	3.61E+00
Sample98	2.60E+00	5.58E+00	3.63E+00	4.50E+00	6.36E+00
Sample99	2.50E-01	2.96E+00	4.88E+00	5.88E+00	3.61E+00
Sample100	2.39E+00	3.79E+00	4.80E+00	1.73E+00	3.68E+00
