Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample1	0	20	104	58	0	24
Sample2	37	3	10	12	14	0
Sample3	41	6	2	0	12	6
Sample4	0	77	3	5	0	3
Sample5	3	25	0	3	0	14
Sample6	14	73	0	0	0	7
Sample7	21	0	82	53	0	29
Sample8	21	1	5	3	26	10
Sample9	0	32	0	9	14	13
Sample10	47	4	19	0	2	0
Sample11	6	58	1	13	0	5
Sample12	0	13	0	14	37	1
Sample13	41	0	0	2	16	3
Sample14	13	4	42	52	0	0
Sample15	7	40	30	0	7	5
Sample16	13	58	24	0	0	0
Sample17	0	0	7	0	19	11
Sample18	13	23	81	57	1	18
Sample19	31	0	0	18	14	5
Sample20	41	1	0	7	8	6
Sample21	21	0	3	14	22	1
Sample22	31	12	6	17	0	2
Sample23	0	121	54	2	0	17
Sample24	1	57	7	0	24	0
Sample25	42	0	3	18	5	3
Sample26	6	3	12	0	24	19
Sample27	36	15	3	10	3	0
Sample28	38	4	0	4	19	1
Sample29	2	1	1	0	0	41
Sample30	26	6	40	12	12	15
Sample31	47	0	17	0	0	7
Sample32	23	3	0	32	4	3
Sample33	0	33	75	52	0	20
Sample34	35	0	3	0	25	1
Sample35	39	0	4	9	14	0
Sample36	43	0	17	8	9	0
Sample37	26	10	1	12	11	11
Sample38	43	0	4	2	7	9
Sample39	0	90	73	24	0	7
Sample40	46	0	3	5	13	0
Sample41	5	31	24	3	28	6
Sample42	28	0	2	24	1	3
Sample43	2	1	1	0	0	41
Sample44	11	69	0	6	3	8
Sample45	5	55	17	14	6	10
Sample46	4	58	33	0	0	8
Sample47	45	0	14	0	0	3
Sample48	2	1	1	0	0	41
Sample49	46	0	9	0	6	3
Sample50	4	0	1	42	16	7
Sample51	32	3	2	3	22	0
Sample52	34	4	7	35	0	9
Sample53	2	1	1	0	0	41
Sample54	38	7	2	12	3	3
Sample55	0	16	1	0	29	8
Sample56	44	9	28	0	8	0
Sample57	31	11	3	0	26	0
Sample58	36	6	15	0	4	7
Sample59	15	72	11	0	8	1
Sample60	41	0	17	1	0	4
Sample61	33	6	0	0	13	15
Sample62	6	62	15	0	16	0
Sample63	49	2	8	0	0	0
Sample64	13	46	23	3	13	5
Sample65	14	56	0	0	24	5
Sample66	44	3	3	13	0	3
Sample67	40	0	3	2	8	7
Sample68	21	64	11	0	1	0
Sample69	44	0	5	7	3	7
Sample70	28	8	0	26	2	8
Sample71	33	2	1	26	0	5
Sample72	28	6	0	25	16	0
Sample73	24	2	0	29	9	1
Sample74	36	6	0	9	8	1
Sample75	38	10	0	6	0	15
Sample76	27	9	9	0	14	8
Sample77	0	103	71	0	15	4
Sample78	5	73	0	17	5	2
Sample79	0	73	0	20	0	0
Sample80	2	1	1	0	0	41
Sample81	42	0	21	0	8	0
Sample82	34	0	7	0	13	8
Sample83	2	68	10	0	8	2
Sample84	4	69	0	1	8	5
Sample85	2	74	17	0	3	1
Sample86	7	68	4	0	2	8
Sample87	26	0	0	5	17	11
Sample88	38	2	30	19	0	0
Sample89	45	9	0	11	0	2
Sample90	33	16	1	2	9	2
Sample91	36	7	0	22	0	0
Sample92	29	0	4	7	26	1
Sample93	37	0	8	22	5	4
Sample94	24	9	3	28	12	12
Sample95	41	13	0	0	2	9
Sample96	32	0	0	17	7	7
Sample97	47	0	11	0	8	0
Sample98	27	21	36	42	0	10
Sample99	28	0	62	0	0	0
Sample100	20	0	0	20	25	0
