Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	5.20E+00	7.55E+00	1.21E+01	6.69E+00	3.82E+00	1.58E+01	6.00E+00	2.04E+01
Sample2	1.25E+00	3.28E+00	6.19E+00	4.32E+00	4.66E+00	2.85E+00	5.00E-01	4.15E+00
Sample3	3.25E+00	1.40E+00	4.85E+00	2.04E+00	5.08E+00	1.12E+00	1.65E+00	4.47E+00
Sample4	8.63E+00	1.69E+00	2.52E+00	5.71E+00	1.56E+00	4.14E+00	2.50E-01	7.55E+00
Sample5	4.26E+00	8.75E-01	2.47E+00	5.58E+00	9.05E-01	5.19E+00	2.52E+00	5.00E-01
Sample6	1.17E+01	2.36E+00	1.07E+00	5.74E+00	2.44E+00	4.75E+00	1.80E+00	7.85E+00
Sample7	4.80E+00	4.57E+00	6.11E+00	3.69E+00	5.09E+00	5.71E+00	3.31E+00	3.49E+00
Sample8	3.16E+00	4.17E+00	3.93E+00	5.15E+00	4.72E+00	9.05E-01	2.51E+00	2.72E+00
Sample9	3.00E+00	3.10E+00	1.99E+00	5.34E+00	2.61E+00	3.94E+00	2.58E+00	8.13E+00
Sample10	3.94E+00	5.17E+00	7.79E+00	1.96E+00	6.31E+00	9.44E-01	5.00E-01	2.59E+00
Sample11	9.40E+00	2.45E+00	9.01E-01	6.16E+00	1.00E+00	6.62E+00	0.00E+00	8.05E+00
Sample12	6.87E+00	4.22E+00	4.06E+00	5.81E-01	2.26E+00	8.75E-01	2.27E+00	6.24E+00
Sample13	3.50E+00	5.72E+00	4.44E+00	3.37E+00	4.10E+00	0.00E+00	1.49E+00	1.49E+00
Sample14	5.67E+00	5.69E+00	6.89E+00	6.38E+00	5.18E+00	4.05E+00	2.52E+00	1.70E+00
Sample15	6.07E+00	1.37E+00	5.32E+00	3.08E+00	3.64E+00	6.37E+00	6.11E-01	6.31E+00
Sample16	1.03E+01	2.51E+00	2.09E+00	7.07E+00	1.62E+00	6.68E+00	9.05E-01	6.76E+00
Sample17	1.25E+00	2.17E+00	0.00E+00	5.26E+00	3.75E-01	3.44E+00	3.48E+00	4.62E+00
Sample18	4.81E+00	3.97E+00	4.83E+00	5.44E+00	3.97E+00	7.03E+00	3.40E+00	8.50E+00
Sample19	0.00E+00	4.68E+00	5.27E+00	4.20E+00	2.67E+00	1.26E+00	1.89E+00	4.82E+00
Sample20	0.00E+00	4.62E+00	6.89E+00	4.40E+00	7.62E+00	0.00E+00	1.84E+00	1.00E+00
Sample21	3.04E+00	3.05E+00	2.87E+00	1.73E+00	3.00E+00	1.13E+00	1.56E+00	1.94E+00
Sample22	1.71E+00	4.69E+00	4.58E+00	0.00E+00	5.02E+00	6.39E-01	3.49E+00	1.62E+00
Sample23	1.26E+01	1.86E+00	2.29E+00	8.65E+00	2.08E+00	1.06E+01	2.61E+00	1.34E+01
Sample24	9.64E+00	2.24E+00	4.19E+00	6.90E+00	7.50E-01	6.62E+00	0.00E+00	5.74E+00
Sample25	2.70E+00	4.12E+00	5.09E+00	1.93E+00	4.88E+00	1.58E+00	1.10E+00	1.37E+00
Sample26	2.50E-01	4.24E+00	4.06E+00	4.35E+00	4.68E+00	3.87E+00	4.25E+00	3.11E+00
Sample27	3.94E+00	2.25E+00	2.64E+00	1.81E+00	4.74E+00	1.80E+00	4.91E-01	2.14E+00
Sample28	0.00E+00	6.32E+00	4.75E+00	5.06E+00	6.79E+00	7.50E-01	1.11E+00	1.25E-01
Sample29	0.00E+00	3.75E-01	8.75E-01	0.00E+00	3.75E-01	0.00E+00	9.05E-01	0.00E+00
Sample30	5.40E+00	5.92E+00	6.61E+00	4.62E+00	4.40E+00	7.39E+00	3.12E+00	4.08E+00
Sample31	2.32E+00	4.62E+00	6.45E+00	5.33E+00	5.17E+00	1.94E+00	1.70E+00	3.40E+00
Sample32	1.98E+00	6.59E+00	6.57E+00	4.14E+00	6.64E+00	2.34E+00	1.21E+00	0.00E+00
Sample33	6.22E+00	4.43E+00	5.94E+00	4.17E+00	4.91E+00	4.79E+00	2.71E+00	5.92E+00
Sample34	0.00E+00	8.00E+00	6.20E+00	5.25E+00	7.87E+00	0.00E+00	9.26E-01	6.81E-01
Sample35	2.30E+00	4.62E+00	3.45E+00	2.59E+00	5.66E+00	2.50E-01	0.00E+00	1.29E+00
Sample36	4.26E+00	5.46E+00	5.94E+00	3.10E+00	4.59E+00	2.31E+00	4.98E-01	2.30E+00
Sample37	1.62E+00	3.32E+00	4.21E+00	3.85E+00	4.29E+00	3.11E+00	2.52E+00	1.53E+00
Sample38	1.25E+00	4.28E+00	5.88E+00	2.49E+00	4.16E+00	2.56E+00	0.00E+00	1.47E+00
