Samples	Signature A	Signature B	Signature C
Sample1	0	154	52
Sample2	76	0	0
Sample3	67	0	0
Sample4	0	88	0
Sample5	0	29	16
Sample6	0	94	0
Sample7	63	122	0
Sample8	48	0	18
Sample9	0	44	24
Sample10	72	0	0
Sample11	0	83	0
Sample12	32	33	0
Sample13	62	0	0
Sample14	51	60	0
Sample15	0	89	0
Sample16	0	95	0
Sample17	13	0	24
Sample18	0	193	0
Sample19	68	0	0
Sample20	63	0	0
Sample21	61	0	0
Sample22	48	20	0
Sample23	0	194	0
Sample24	0	89	0
Sample25	71	0	0
Sample26	0	34	30
Sample27	67	0	0
Sample28	66	0	0
Sample29	0	0	45
Sample30	52	59	0
Sample31	71	0	0
Sample32	65	0	0
Sample33	0	180	0
Sample34	64	0	0
Sample35	66	0	0
Sample36	77	0	0
Sample37	51	0	20
Sample38	65	0	0
Sample39	0	194	0
Sample40	67	0	0
Sample41	0	97	0
Sample42	58	0	0
Sample43	0	0	45
Sample44	0	97	0
Sample45	0	107	0
Sample46	0	103	0
Sample47	62	0	0
Sample48	0	0	45
Sample49	64	0	0
Sample50	70	0	0
Sample51	62	0	0
Sample52	89	0	0
Sample53	0	0	45
Sample54	65	0	0
Sample55	21	33	0
Sample56	55	34	0
Sample57	71	0	0
Sample58	46	22	0
Sample59	0	107	0
Sample60	63	0	0
Sample61	47	0	20
Sample62	0	99	0
Sample63	59	0	0
Sample64	0	103	0
Sample65	0	99	0
Sample66	66	0	0
Sample67	60	0	0
Sample68	0	97	0
Sample69	66	0	0
Sample70	72	0	0
Sample71	67	0	0
Sample72	75	0	0
Sample73	65	0	0
Sample74	60	0	0
Sample75	50	0	19
Sample76	51	0	16
Sample77	0	193	0
Sample78	0	102	0
Sample79	0	93	0
Sample80	0	0	45
Sample81	71	0	0
Sample82	62	0	0
Sample83	0	90	0
Sample84	0	87	0
Sample85	0	97	0
Sample86	0	89	0
Sample87	45	0	14
Sample88	57	32	0
Sample89	67	0	0
Sample90	63	0	0
Sample91	65	0	0
Sample92	67	0	0
Sample93	76	0	0
Sample94	66	0	22
Sample95	65	0	0
Sample96	63	0	0
Sample97	66	0	0
Sample98	60	76	0
Sample99	0	90	0
Sample100	65	0	0
