Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.862	144.019	69.912%	20.454	65.81%	0.5785
Sample2	76	0.96	23.101	30.396%	4.096	28.265%	0.2761
Sample3	67	0.953	18.154	27.096%	3.997	30.214%	0.2998
Sample4	88	0.96	35.275	40.085%	5.428	28.45%	0.3766
Sample5	45	0.863	31.978	71.062%	5.135	50.597%	0.5514
Sample6	94	0.963	32.818	34.913%	5.102	27.35%	0.1807
Sample7	185	0.913	84.711	45.79%	14.207	44.118%	0.2829
Sample8	66	0.959	20.99	31.803%	3.689	28.293%	0.1526
Sample9	68	0.874	42.777	62.907%	6.677	49.767%	0.4718
Sample10	72	0.96	19.063	26.476%	4.201	28.195%	0.148
Sample11	83	0.959	27.357	32.96%	4.823	28.371%	0.1461
Sample12	65	0.916	34.203	52.62%	5.36	40.063%	0.3302
Sample13	62	0.977	12.54	20.226%	2.568	21.704%	0.1018
Sample14	111	0.931	49.373	44.48%	7.702	37.013%	0.2489
Sample15	89	0.945	36.132	40.598%	6.445	32.847%	0.2613
Sample16	95	0.971	28.889	30.409%	4.641	23.777%	0.167
Sample17	37	0.78	28.085	75.905%	4.941	64.326%	0.7683
Sample18	193	0.902	99.072	51.333%	16.613	48.424%	0.5483
Sample19	68	0.925	26.217	38.554%	4.98	39.619%	0.4557
Sample20	63	0.968	14.942	23.717%	3.235	25.184%	0.2349
Sample21	61	0.938	22.121	36.264%	4.157	35.008%	0.4166
Sample22	68	0.973	19.312	28.4%	3.169	23.49%	0.1749
Sample23	194	0.958	73.796	38.039%	11.13	29.01%	0.2504
Sample24	89	0.966	26.94	30.27%	4.714	25.91%	0.1339
Sample25	71	0.972	16.465	23.19%	3.246	23.737%	0.3391
Sample26	64	0.911	34.854	54.459%	5.821	41.368%	0.3982
Sample27	67	0.942	22.29	33.269%	4.299	34.985%	0.5479
Sample28	66	0.963	17.054	25.839%	3.607	26.885%	0.13
Sample29	45	0.981	11.32	25.156%	2.125	20.354%	0.1057
Sample30	111	0.943	44.802	40.362%	6.937	33.809%	0.2084
Sample31	71	0.913	32.449	45.703%	5.718	41.592%	0.803
Sample32	65	0.933	22.394	34.452%	4.808	35.937%	0.2848
Sample33	180	0.947	79.578	44.21%	11.565	34.496%	0.4702
Sample34	64	0.962	15.372	24.019%	3.556	27.435%	0.1023
Sample35	66	0.953	19.641	29.759%	3.905	30.493%	0.402
Sample36	77	0.958	23.617	30.671%	4.251	28.992%	0.2727
Sample37	71	0.962	22.26	31.352%	3.772	27.293%	0.2068
Sample38	65	0.966	16.184	24.898%	3.277	25.988%	0.1525
Sample39	194	0.951	71.969	37.097%	11.997	32.063%	0.2088
Sample40	67	0.966	17.242	25.734%	3.512	25.821%	0.2094
Sample41	97	0.941	39.631	40.857%	6.672	34.363%	0.35
Sample42	58	0.961	14.669	25.291%	3.187	27.739%	0.1563
Sample43	45	0.981	11.32	25.156%	2.125	20.354%	0.1057
Sample44	97	0.967	29.032	29.93%	5.042	25.498%	0.1502
Sample45	107	0.953	37.418	34.97%	6.433	32.205%	0.3416
Sample46	103	0.958	34.472	33.468%	6.107	28.567%	0.2029
Sample47	62	0.926	21.519	34.708%	4.643	38.165%	0.4634
Sample48	45	0.981	11.32	25.156%	2.125	20.354%	0.1057
Sample49	64	0.955	18.42	28.781%	3.679	30.039%	0.2227
Sample50	70	0.887	32.245	46.064%	6.595	46.634%	0.5883
Sample51	62	0.96	17.094	27.571%	3.648	28.314%	0.1335
Sample52	89	0.94	34.169	38.392%	5.842	34.975%	0.4664
Sample53	45	0.981	11.32	25.156%	2.125	20.354%	0.1057
Sample54	65	0.958	17.528	26.966%	3.791	28.822%	0.3333
Sample55	54	0.88	34.767	64.383%	5.166	47.965%	0.5871
Sample56	89	0.941	36.037	40.491%	5.789	33.82%	0.276
Sample57	71	0.951	18.794	26.47%	4.435	30.975%	0.2615
Sample58	68	0.947	27.421	40.325%	4.332	32.111%	0.2546
Sample59	107	0.963	38.624	36.097%	6.16	27.197%	0.224
Sample60	63	0.941	21.091	33.478%	4.109	35.106%	0.3261
Sample61	67	0.921	28.253	42.169%	4.904	39.908%	0.4653
Sample62	99	0.973	31.378	31.695%	4.744	22.958%	0.2687
Sample63	59	0.954	14.289	24.219%	3.601	30.113%	0.0894
Sample64	103	0.966	34.491	33.486%	5.558	25.775%	0.2324
Sample65	99	0.893	58.249	58.837%	9.486	45.378%	0.461
Sample66	66	0.977	13.799	20.908%	2.705	21.385%	0.2295
Sample67	60	0.971	13.355	22.258%	2.83	24.091%	0.1499
Sample68	97	0.976	28.793	29.684%	4.553	22.085%	0.1481
Sample69	66	0.97	15.776	23.903%	3.236	24.532%	0.1546
Sample70	72	0.901	34.565	48.007%	6.113	44.584%	0.6736
Sample71	67	0.928	25.112	37.481%	4.828	38.289%	0.6705
Sample72	75	0.951	23.982	31.976%	4.581	30.956%	0.2038
Sample73	65	0.956	18.469	28.414%	3.761	29.279%	0.2887
Sample74	60	0.972	13.053	21.755%	2.746	23.722%	0.1504
Sample75	69	0.944	25.893	37.526%	4.366	33.004%	0.2605
Sample76	67	0.952	23.432	34.973%	4.035	30.678%	0.1968
Sample77	193	0.958	70.626	36.594%	11.11	29.207%	0.2653
Sample78	102	0.967	32.531	31.893%	5.192	26.157%	0.2524
Sample79	93	0.967	32.653	35.111%	5.017	25.569%	0.1708
Sample80	45	0.981	11.32	25.156%	2.125	20.354%	0.1057
Sample81	71	0.933	26.178	36.87%	5.244	35.931%	0.3788
Sample82	62	0.944	19.231	31.018%	4.017	33.02%	0.2005
Sample83	90	0.978	26.937	29.93%	4.216	21.628%	0.1731
Sample84	87	0.967	28.63	32.908%	4.583	25.422%	0.1984
Sample85	97	0.979	27.191	28.032%	4.992	22.762%	0.125
Sample86	89	0.963	33.389	37.516%	5.082	27.126%	0.3278
Sample87	59	0.956	20.864	35.363%	3.573	29.672%	0.1831
Sample88	89	0.947	32.904	36.971%	5.58	32.27%	0.24
Sample89	67	0.972	15.83	23.627%	3.106	23.479%	0.3442
Sample90	63	0.954	17.485	27.754%	3.864	30.081%	0.1638
Sample91	65	0.935	20.55	31.615%	4.694	35.483%	0.3841
Sample92	67	0.955	18.947	28.279%	3.866	29.916%	3.1423
Sample93	76	0.937	27.526	36.218%	5.172	35.355%	3.1224
Sample94	88	0.969	25.431	28.899%	4.294	24.874%	0.1627
Sample95	65	0.942	19.74	30.369%	4.284	33.763%	0.1392
Sample96	63	0.933	19.396	30.787%	4.36	36.981%	0.3331
Sample97	66	0.974	14.539	22.029%	2.887	22.544%	0.1238
Sample98	136	0.948	54.633	40.171%	8.194	32.44%	0.3026
Sample99	90	0.864	56.705	63.006%	9.817	50.627%	0.7063
Sample100	65	0.941	21.355	32.854%	4.302	34.334%	0.1774
