Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	206	0.846	126.406	61.362%	16.592	53.384%	0.36
Sample2	76	0.96	23.101	30.396%	4.096	28.265%	0.2761
Sample3	67	0.953	18.154	27.096%	3.997	30.214%	0.2998
Sample4	88	0.844	66.533	75.606%	10.724	56.209%	0.54
Sample5	45	0.794	42.244	93.876%	6.369	62.756%	0.7344
Sample6	94	0.879	65.365	69.537%	9.232	49.489%	0.4731
Sample7	185	0.896	102.795	55.565%	14.43	44.81%	0.3168
Sample8	66	0.935	21.552	32.655%	4.658	35.725%	0.2805
Sample9	68	0.845	49.502	72.797%	7.368	54.918%	0.5088
Sample10	72	0.96	19.063	26.476%	4.201	28.195%	0.148
Sample11	83	0.859	60.645	73.066%	8.909	52.406%	0.5332
Sample12	65	0.871	34.701	53.386%	6.615	49.443%	3.9689
Sample13	62	0.977	12.54	20.226%	2.568	21.704%	0.1018
Sample14	111	0.902	58.991	53.145%	9.076	43.616%	0.3214
Sample15	89	0.856	65.257	73.322%	10.725	54.66%	0.4986
Sample16	95	0.875	66.142	69.623%	9.911	50.776%	0.484
Sample17	37	0.756	38.783	104.819%	5.085	66.201%	0.8639
Sample18	193	0.907	104.357	54.071%	14.839	43.253%	0.3028
Sample19	68	0.925	26.217	38.554%	4.98	39.619%	0.4557
Sample20	63	0.968	14.942	23.717%	3.235	25.184%	0.2349
Sample21	61	0.938	22.121	36.264%	4.157	35.008%	0.4166
Sample22	68	0.956	19.251	28.31%	3.94	29.205%	0.1593
Sample23	194	0.861	129.003	66.496%	20.391	53.148%	0.3776
Sample24	89	0.884	60.816	68.333%	8.924	49.051%	0.4827
Sample25	71	0.972	16.465	23.19%	3.246	23.737%	0.3391
Sample26	64	0.876	49.328	77.075%	7.283	51.758%	0.5108
Sample27	67	0.942	22.29	33.269%	4.299	34.985%	0.5479
Sample28	66	0.963	17.054	25.839%	3.607	26.885%	0.13
Sample29	45	0.762	44.382	98.627%	6.997	67.019%	0.7698
Sample30	111	0.92	56.7	51.081%	8.2	39.964%	0.3083
Sample31	71	0.913	32.449	45.703%	5.718	41.592%	0.803
Sample32	65	0.933	22.394	34.452%	4.808	35.937%	0.2848
