Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	28	4	0	0	0	23	0	0	12	13
Sample2	0	7	0	7	6	2	2	5	0	0
Sample3	0	3	2	9	1	6	3	5	0	0
Sample4	0	13	16	0	3	0	1	0	8	0
Sample5	3	7	7	0	0	0	0	0	4	0
Sample6	1	4	14	0	10	0	0	2	4	0
Sample7	44	2	4	3	1	7	12	4	0	0
Sample8	1	3	0	7	7	6	3	0	0	1
Sample9	0	4	0	0	0	8	10	4	2	0
Sample10	0	5	4	9	4	3	2	0	0	0
Sample11	0	6	10	0	3	0	1	0	13	0
Sample12	0	8	0	0	5	0	0	2	8	0
Sample13	0	0	0	8	8	0	3	5	2	0
Sample14	0	2	5	1	4	23	0	0	7	4
Sample15	0	4	17	0	6	3	0	1	2	4
Sample16	1	5	25	3	1	0	1	0	0	0
Sample17	0	0	0	0	0	0	5	1	0	6
Sample18	44	2	2	2	13	0	7	4	0	0
Sample19	0	2	3	6	2	3	7	4	0	2
Sample20	0	4	0	9	3	3	0	6	0	1
Sample21	0	6	0	11	0	2	0	5	2	0
Sample22	0	7	5	5	5	0	4	3	2	0
Sample23	29	3	26	0	9	0	4	0	4	0
Sample24	0	5	15	0	9	0	0	1	3	1
Sample25	0	7	1	7	2	2	0	7	3	0
Sample26	0	0	2	1	0	11	0	0	2	9
Sample27	1	1	4	7	0	4	5	4	4	0
Sample28	0	7	2	4	7	2	2	5	0	0
Sample29	0	3	0	0	11	0	0	0	3	6
Sample30	8	1	2	1	8	11	2	3	0	7
Sample31	0	3	3	4	2	0	11	4	0	1
Sample32	2	6	0	9	0	3	2	4	0	0
Sample33	37	12	0	6	3	7	5	1	0	0
Sample34	0	6	0	9	5	1	0	4	0	4
Sample35	0	6	0	6	2	6	5	4	0	0
Sample36	0	7	0	7	6	2	2	5	0	0
Sample37	1	6	0	7	2	2	3	4	3	0
Sample38	0	2	0	9	10	1	1	4	0	1
Sample39	49	1	10	0	6	0	3	0	14	0
Sample40	0	8	0	9	0	3	4	5	0	0
