Samples	Signature A	Signature B
Sample1	2.60E+00	2.60E+00
Sample2	0.00E+00	0.00E+00
Sample3	1.25E-01	1.25E-01
Sample4	4.31E+00	4.31E+00
Sample5	2.70E+00	2.70E+00
Sample6	3.72E+00	3.72E+00
Sample7	4.53E+00	4.53E+00
Sample8	1.41E+00	1.41E+00
Sample9	3.15E+00	3.15E+00
Sample10	0.00E+00	0.00E+00
Sample11	4.22E+00	4.22E+00
Sample12	2.81E+00	2.81E+00
Sample13	1.25E-01	1.25E-01
Sample14	3.54E+00	3.54E+00
Sample15	4.48E+00	4.48E+00
Sample16	2.85E+00	2.85E+00
Sample17	1.93E+00	1.93E+00
Sample18	4.18E+00	4.15E+00
Sample19	1.59E+00	1.59E+00
Sample20	0.00E+00	0.00E+00
Sample21	0.00E+00	0.00E+00
Sample22	0.00E+00	0.00E+00
Sample23	1.97E+00	1.97E+00
Sample24	4.75E+00	4.75E+00
Sample25	1.22E+00	1.22E+00
Sample26	3.77E+00	3.77E+00
Sample27	2.94E+00	2.94E+00
Sample28	0.00E+00	0.00E+00
Sample29	1.78E+00	1.78E+00
Sample30	2.13E+00	2.13E+00
Sample31	1.61E+00	1.61E+00
Sample32	1.26E+00	1.26E+00
Sample33	3.39E+00	3.39E+00
Sample34	0.00E+00	0.00E+00
Sample35	0.00E+00	0.00E+00
Sample36	1.37E+00	1.37E+00
Sample37	9.53E-01	9.53E-01
Sample38	1.37E+00	1.37E+00
Sample39	3.58E+00	3.58E+00
Sample40	2.00E+00	2.00E+00
