Samples	Signature A	Signature B	Signature C	Signature D
Sample1	19	0	46	15
Sample2	3	20	0	6
Sample3	5	21	3	0
Sample4	25	3	0	13
Sample5	15	1	0	5
Sample6	26	3	0	6
Sample7	30	17	30	0
Sample8	1	13	9	5
Sample9	2	18	3	5
Sample10	7	18	0	2
Sample11	17	0	0	16
Sample12	0	0	0	23
Sample13	0	18	3	5
Sample14	19	2	25	0
Sample15	29	5	3	0
Sample16	34	1	0	1
Sample17	0	3	9	0
Sample18	29	16	29	0
Sample19	2	13	7	7
Sample20	0	21	2	3
Sample21	1	20	0	5
Sample22	7	14	0	10
Sample23	57	2	10	6
Sample24	23	3	0	8
Sample25	3	17	0	9
Sample26	5	0	20	0
Sample27	7	15	5	3
Sample28	5	15	0	9
Sample29	0	0	5	18
Sample30	12	8	23	0
Sample31	2	18	4	4
Sample32	2	21	0	3
Sample33	28	18	17	8
Sample34	1	18	3	7
Sample35	2	16	3	8
Sample36	3	20	0	6
Sample37	1	17	0	10
Sample38	0	17	6	5
Sample39	51	0	18	14
Sample40	2	22	0	5
