Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	80	0.843	49.995	62.494%	7.627	56.848%	0.4283
Sample2	29	0.969	8.526	29.4%	1.738	25.351%	0.1823
Sample3	29	0.943	11.442	39.455%	2.186	33.336%	0.2415
Sample4	41	0.949	16.385	39.963%	3.039	31.513%	0.2918
Sample5	21	0.853	14.532	69.2%	2.998	52.188%	0.5079
Sample6	35	0.936	14.367	41.049%	2.929	35.261%	0.2647
Sample7	77	0.93	32.631	42.378%	5.525	36.833%	0.2235
Sample8	28	0.937	13.482	48.15%	2.417	36.438%	0.3017
Sample9	28	0.827	21.216	75.771%	3.558	56.257%	0.6699
Sample10	27	0.965	9.653	35.752%	1.845	27.504%	0.1989
Sample11	33	0.936	13.533	41.009%	2.605	35.126%	0.254
Sample12	23	0.836	17.416	75.722%	3.587	56.02%	0.5152
Sample13	26	0.939	10.384	39.938%	2.141	34.732%	0.2116
Sample14	46	0.889	27.274	59.291%	4.485	46.259%	0.385
Sample15	37	0.967	11.947	32.289%	2.421	26.9%	0.1767
Sample16	36	0.949	14.707	40.853%	3.012	32.108%	0.2752
Sample17	12	0.843	8.982	74.85%	2.017	53.907%	0.5791
Sample18	74	0.934	29.68	40.108%	4.955	35.76%	0.1736
Sample19	29	0.902	13.394	46.186%	2.774	43.323%	0.3742
Sample20	26	0.947	10.202	39.238%	1.927	32.117%	0.1925
Sample21	26	0.956	9.37	36.038%	1.995	30.076%	0.2203
Sample22	31	0.976	8.992	29.006%	1.691	22.801%	0.154
Sample23	75	0.938	31.87	42.493%	5.098	35.434%	0.2671
Sample24	34	0.962	11.569	34.026%	2.222	27.775%	0.2063
Sample25	29	0.961	8.9	30.69%	1.816	27.694%	0.1549
Sample26	25	0.867	19.247	76.988%	3.238	51.849%	0.6015
Sample27	30	0.922	13.74	45.8%	2.512	38.761%	0.403
Sample28	29	0.952	9.421	32.486%	2.018	30.774%	0.2112
Sample29	23	0.801	18.56	80.696%	3.441	59.9%	0.6639
Sample30	43	0.899	22.389	52.067%	3.639	43.808%	0.3523
Sample31	28	0.926	12.084	43.157%	2.442	37.681%	0.2776
Sample32	26	0.931	12.885	49.558%	2.424	37.403%	0.3387
Sample33	71	0.947	27.123	38.201%	4.332	32.379%	0.2129
Sample34	29	0.972	7.921	27.314%	1.717	24.529%	0.1601
Sample35	29	0.953	10.95	37.759%	2.056	30.649%	0.2867
Sample36	29	0.969	8.526	29.4%	1.738	25.351%	0.1823
Sample37	28	0.976	8.298	29.636%	1.464	22.59%	0.1704
Sample38	28	0.952	9.525	34.018%	2.001	30.876%	0.2662
Sample39	83	0.914	39.265	47.307%	6.295	41.064%	0.2388
Sample40	29	0.955	9.26	31.931%	1.988	29.635%	0.2792
