Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	2.59E+00	1.81E+00	1.96E+00	1.62E+00	9.59E+00	3.04E+00	7.92E+00
Sample2	1.02E+00	2.28E+00	3.62E+00	2.62E+00	5.00E-01	1.77E+00	6.25E-01
Sample3	2.31E+00	3.56E+00	3.10E+00	1.71E+00	2.45E+00	9.01E-01	0.00E+00
Sample4	3.46E+00	2.60E+00	1.89E+00	1.51E+00	1.41E+00	3.80E+00	0.00E+00
Sample5	3.11E+00	2.00E+00	1.62E+00	1.25E-01	1.02E+00	2.38E+00	0.00E+00
Sample6	2.55E+00	2.47E+00	1.37E+00	5.26E-01	8.75E-01	1.97E+00	5.00E-01
Sample7	4.97E+00	2.97E+00	2.95E+00	2.34E+00	2.87E+00	1.40E+00	3.69E+00
Sample8	2.41E+00	2.04E+00	2.41E+00	3.61E+00	3.17E+00	5.81E-01	1.39E+00
Sample9	2.62E+00	3.46E+00	2.71E+00	3.98E+00	7.89E-01	1.90E+00	2.00E+00
Sample10	1.85E+00	2.97E+00	3.41E+00	3.21E+00	0.00E+00	1.72E+00	1.25E+00
Sample11	4.62E+00	4.03E+00	9.59E-01	8.75E-01	0.00E+00	4.67E+00	1.00E+00
Sample12	5.00E-01	2.50E-01	1.63E+00	1.49E+00	0.00E+00	1.59E+00	0.00E+00
Sample13	0.00E+00	1.19E+00	2.83E+00	3.95E+00	0.00E+00	2.66E+00	2.50E-01
Sample14	1.67E+00	2.15E+00	1.45E+00	2.84E+00	2.38E+00	1.69E+00	3.73E+00
Sample15	4.16E+00	3.49E+00	1.54E+00	1.16E+00	2.15E+00	4.08E+00	3.75E-01
Sample16	4.18E+00	3.46E+00	6.25E-01	1.50E+00	0.00E+00	2.26E+00	0.00E+00
Sample17	5.00E-01	0.00E+00	8.75E-01	1.96E+00	2.14E+00	0.00E+00	0.00E+00
Sample18	1.97E+00	1.34E+00	2.86E+00	1.12E+00	1.50E+00	1.18E+00	2.04E+00
Sample19	2.61E+00	2.28E+00	2.40E+00	2.22E+00	1.46E+00	2.70E+00	8.75E-01
Sample20	1.62E+00	2.89E+00	2.02E+00	2.35E+00	0.00E+00	7.50E-01	0.00E+00
Sample21	1.32E+00	2.10E+00	3.68E+00	2.02E+00	5.00E-01	2.23E+00	0.00E+00
Sample22	1.95E+00	2.40E+00	2.42E+00	3.23E+00	0.00E+00	3.14E+00	6.25E-01
Sample23	5.35E+00	1.69E+00	6.80E-01	6.81E-01	9.90E-01	3.57E+00	6.86E+00
Sample24	3.05E+00	1.99E+00	0.00E+00	1.41E+00	1.63E+00	1.94E+00	0.00E+00
Sample25	9.25E-01	2.34E+00	1.97E+00	1.84E+00	1.05E+00	1.29E+00	0.00E+00
Sample26	1.96E+00	1.54E+00	1.50E+00	1.25E+00	3.14E+00	1.61E+00	3.34E+00
Sample27	2.11E+00	1.35E+00	2.09E+00	3.48E+00	1.55E+00	1.06E+00	2.50E-01
Sample28	1.28E+00	1.93E+00	3.75E+00	2.48E+00	0.00E+00	2.60E+00	1.00E+00
Sample29	2.00E+00	1.80E+00	0.00E+00	2.10E+00	3.01E+00	1.86E+00	0.00E+00
Sample30	1.46E+00	2.34E+00	2.76E+00	4.14E+00	2.88E+00	1.00E+00	3.98E+00
Sample31	1.28E+00	2.16E+00	3.30E+00	2.04E+00	1.16E+00	1.74E+00	6.25E-01
Sample32	5.26E-01	3.41E+00	3.45E+00	2.48E+00	1.25E-01	6.25E-01	1.26E+00
Sample33	3.72E+00	1.91E+00	1.85E+00	2.74E+00	7.50E-01	1.80E+00	3.87E+00
Sample34	1.49E+00	1.89E+00	2.56E+00	2.65E+00	2.17E+00	2.01E+00	0.00E+00
Sample35	1.05E+00	2.21E+00	2.54E+00	3.67E+00	1.66E+00	1.46E+00	2.50E-01
Sample36	1.25E-01	3.03E+00	2.20E+00	9.59E-01	1.25E+00	2.04E+00	0.00E+00
Sample37	2.63E-01	3.17E+00	3.15E+00	1.34E+00	0.00E+00	1.38E+00	7.73E-01
Sample38	2.10E+00	2.63E+00	2.09E+00	2.06E+00	4.98E-01	2.00E+00	5.00E-01
Sample39	6.54E+00	2.27E+00	6.81E-01	2.18E+00	3.75E-01	4.58E+00	5.04E+00
Sample40	7.50E-01	4.26E+00	3.04E+00	2.14E+00	2.50E-01	3.62E+00	0.00E+00
