Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	49	0	0	8	4	0	11	8
Sample2	0	1	11	7	6	4	0	0
Sample3	0	3	7	6	4	9	0	0
Sample4	0	13	2	0	16	0	10	0
Sample5	0	4	0	0	12	0	5	0
Sample6	0	20	0	5	1	4	5	0
Sample7	41	9	3	0	6	18	0	0
Sample8	3	3	10	7	0	4	0	1
Sample9	1	0	0	6	5	13	3	0
Sample10	0	5	12	7	2	1	0	0
Sample11	0	10	0	0	10	2	11	0
Sample12	0	2	0	10	0	0	11	0
Sample13	0	0	7	5	0	10	4	0
Sample14	25	4	3	2	3	0	8	1
Sample15	0	18	0	0	11	1	3	4
Sample16	0	28	2	0	6	0	0	0
Sample17	0	0	0	0	0	2	0	10
Sample18	35	9	10	4	0	12	4	0
Sample19	0	5	9	8	0	3	0	4
Sample20	0	0	8	10	4	2	0	2
Sample21	0	0	9	7	5	2	3	0
Sample22	0	5	11	6	4	1	4	0
Sample23	23	32	2	1	3	5	9	0
Sample24	0	18	0	3	4	3	5	1
Sample25	0	0	8	11	5	1	4	0
Sample26	9	5	0	0	0	0	3	8
Sample27	1	5	6	3	2	7	5	1
Sample28	0	5	6	15	0	3	0	0
Sample29	0	1	7	0	2	0	9	4
Sample30	18	4	2	3	5	7	0	4
Sample31	0	3	5	5	1	12	0	2
Sample32	3	0	10	10	2	0	0	1
Sample33	33	4	13	8	13	0	0	0
Sample34	0	0	11	6	7	1	0	4
Sample35	1	1	8	13	2	4	0	0
Sample36	0	1	11	7	6	4	0	0
Sample37	2	0	9	8	2	3	4	0
Sample38	0	2	12	8	0	4	0	2
Sample39	34	17	0	0	3	8	21	0
Sample40	0	0	8	6	9	6	0	0
