Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	9.44E-01	9.82E+00	1.78E+00	1.92E+00	1.75E+00	1.95E+00	1.06E+01	5.00E-01
Sample2	3.41E+00	3.75E-01	3.86E+00	6.25E-01	1.41E+00	2.50E-01	0.00E+00	1.00E+00
Sample3	2.07E+00	3.24E-01	3.46E+00	2.34E+00	1.20E+00	1.37E+00	7.50E-01	2.12E+00
Sample4	1.36E+00	0.00E+00	1.82E+00	3.33E+00	3.27E+00	3.21E+00	6.25E-01	1.62E+00
Sample5	0.00E+00	2.50E-01	1.25E-01	2.35E+00	2.22E+00	2.95E+00	0.00E+00	0.00E+00
Sample6	8.75E-01	0.00E+00	1.54E+00	2.47E+00	2.46E+00	1.62E+00	5.00E-01	1.74E+00
Sample7	2.14E+00	1.88E+00	1.63E+00	4.52E+00	1.28E+00	1.37E+00	6.35E+00	3.54E+00
Sample8	3.09E+00	1.25E+00	2.24E+00	3.18E+00	8.02E-01	1.58E+00	6.25E-01	1.89E+00
Sample9	3.37E+00	5.00E-01	6.81E-01	1.37E+00	3.47E+00	1.99E+00	1.00E+00	4.32E+00
Sample10	2.83E+00	3.75E-01	3.19E+00	1.72E+00	1.86E+00	1.49E+00	2.03E+00	1.39E+00
Sample11	0.00E+00	2.50E-01	5.81E-01	3.52E+00	4.43E+00	4.17E+00	0.00E+00	0.00E+00
Sample12	2.12E+00	9.81E-01	1.50E+00	0.00E+00	2.72E+00	2.58E+00	0.00E+00	1.37E+00
Sample13	2.33E+00	1.25E-01	3.04E+00	0.00E+00	6.25E-01	1.64E+00	0.00E+00	1.75E+00
Sample14	1.37E+00	9.05E-01	3.69E+00	1.29E+00	1.05E+00	9.45E-01	3.98E+00	1.77E+00
Sample15	1.47E+00	5.35E-01	2.34E+00	3.39E+00	2.38E+00	2.35E+00	0.00E+00	1.36E+00
Sample16	0.00E+00	2.50E-01	7.50E-01	1.87E+00	1.41E+00	1.80E+00	0.00E+00	8.75E-01
Sample17	0.00E+00	1.12E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.12E+00
Sample18	1.60E+00	0.00E+00	3.84E+00	1.41E+00	1.71E+00	3.44E+00	6.26E+00	5.53E+00
Sample19	2.86E+00	2.11E+00	1.39E+00	1.74E+00	1.00E+00	3.78E-01	1.47E+00	2.19E+00
Sample20	3.11E+00	1.64E-01	2.46E+00	1.00E+00	1.80E+00	2.48E+00	1.75E+00	1.24E+00
Sample21	3.25E+00	0.00E+00	2.50E+00	1.62E+00	2.80E+00	1.86E+00	0.00E+00	1.93E+00
Sample22	3.69E+00	3.75E-01	2.11E+00	1.61E+00	2.08E+00	1.75E+00	0.00E+00	2.58E+00
Sample23	1.69E+00	0.00E+00	1.36E+00	7.20E+00	1.60E+00	3.88E+00	7.56E+00	6.44E+00
Sample24	1.43E+00	3.75E-01	1.12E+00	3.37E+00	1.46E+00	2.45E+00	0.00E+00	2.23E+00
Sample25	2.42E+00	1.25E-01	2.13E+00	1.31E+00	2.60E+00	8.11E-01	0.00E+00	9.21E-01
Sample26	1.32E+00	2.37E+00	8.75E-01	1.79E+00	3.75E-01	1.75E+00	3.65E+00	6.25E-01
Sample27	2.25E+00	2.00E+00	1.21E+00	1.58E+00	2.91E+00	1.22E+00	0.00E+00	1.31E+00
Sample28	3.70E+00	3.75E-01	2.56E+00	1.13E+00	3.05E+00	1.16E+00	1.75E+00	2.29E+00
Sample29	1.50E+00	1.15E+00	3.38E+00	0.00E+00	1.57E+00	1.75E+00	0.00E+00	2.79E+00
Sample30	2.24E+00	2.26E+00	2.01E+00	1.73E+00	3.53E+00	5.00E-01	3.28E+00	4.06E+00
Sample31	2.39E+00	1.12E+00	2.63E+00	9.40E-01	1.86E+00	0.00E+00	0.00E+00	2.45E+00
Sample32	3.55E+00	3.75E-01	2.91E+00	7.50E-01	1.86E+00	8.75E-01	1.56E+00	9.90E-01
Sample33	2.01E+00	0.00E+00	2.27E+00	3.87E+00	1.89E+00	3.12E+00	4.26E+00	4.78E+00
Sample34	2.53E+00	1.05E+00	1.91E+00	2.00E+00	5.81E-01	1.52E+00	0.00E+00	2.17E+00
Sample35	3.41E+00	1.10E+00	2.20E+00	6.55E-01	8.81E-01	1.00E+00	0.00E+00	3.29E+00
Sample36	3.53E+00	1.25E+00	2.95E+00	1.15E+00	2.72E+00	3.75E-01	0.00E+00	2.11E+00
Sample37	2.24E+00	6.25E-01	2.46E+00	5.00E-01	1.74E+00	1.33E+00	1.70E+00	5.26E-01
Sample38	3.52E+00	2.50E-01	3.34E+00	1.89E+00	7.89E-01	1.75E+00	0.00E+00	2.22E+00
Sample39	2.08E+00	2.50E-01	1.61E+00	5.83E+00	2.31E+00	3.92E+00	6.87E+00	3.34E+00
Sample40	3.01E+00	5.00E-01	2.10E+00	0.00E+00	3.42E+00	0.00E+00	0.00E+00	3.59E+00
