Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	23	0	0	0	0	30	15	0	12
Sample2	0	8	0	8	7	3	1	2	0
Sample3	0	9	4	3	4	5	0	4	0
Sample4	4	1	12	1	7	0	16	0	0
Sample5	0	0	8	0	1	0	12	0	0
Sample6	3	0	12	9	1	0	10	0	0
Sample7	33	11	10	0	0	14	0	7	2
Sample8	0	8	0	11	1	8	0	0	0
Sample9	0	3	0	0	4	7	3	11	0
Sample10	0	10	5	3	6	1	0	2	0
Sample11	3	0	6	4	0	0	18	2	0
Sample12	0	0	0	7	5	0	11	0	0
Sample13	0	9	0	11	1	0	0	5	0
Sample14	10	0	9	2	1	17	2	0	5
Sample15	0	1	20	5	0	0	6	1	4
Sample16	0	4	25	0	3	0	4	0	0
Sample17	0	1	0	0	0	0	0	2	9
Sample18	44	9	0	11	3	5	0	0	2
Sample19	0	8	3	6	4	2	0	3	3
Sample20	0	6	0	5	7	5	0	1	2
Sample21	0	10	0	0	8	2	2	4	0
Sample22	0	6	4	5	10	0	2	4	0
Sample23	37	4	20	4	1	0	8	1	0
Sample24	0	0	13	8	1	0	10	2	0
Sample25	0	7	1	3	10	3	3	2	0
Sample26	4	0	5	1	0	6	0	0	9
Sample27	0	8	7	0	2	3	1	9	0
Sample28	0	4	2	10	10	2	0	1	0
Sample29	0	0	0	12	0	0	6	0	5
Sample30	3	2	5	8	0	17	2	0	6
Sample31	0	8	1	4	2	1	2	9	1
Sample32	0	9	1	0	9	4	0	3	0
Sample33	30	8	2	3	15	13	0	0	0
Sample34	0	8	0	7	7	2	0	0	5
Sample35	0	6	1	4	8	6	0	4	0
Sample36	0	8	0	8	7	3	1	2	0
Sample37	4	7	0	2	9	0	1	5	0
Sample38	0	8	0	11	3	3	0	1	2
Sample39	57	1	5	2	0	0	16	2	0
Sample40	0	9	1	0	11	1	0	7	0
