Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	1.48E+00	7.36E+00	1.09E+01	5.00E-01	3.75E-01	1.50E+00	1.02E+01	4.68E+00	6.25E-01
Sample2	2.50E-01	0.00E+00	1.99E+00	3.54E+00	3.58E+00	2.50E+00	0.00E+00	5.00E-01	3.75E-01
Sample3	1.84E+00	0.00E+00	1.57E+00	2.82E+00	1.57E+00	1.88E+00	2.50E-01	0.00E+00	9.25E-01
Sample4	3.18E+00	2.67E+00	8.18E-01	2.70E+00	2.72E+00	1.37E+00	5.00E-01	3.21E+00	1.25E+00
Sample5	3.06E+00	2.50E-01	2.50E-01	1.37E+00	1.12E+00	9.05E-01	3.75E-01	3.17E+00	1.25E-01
Sample6	4.03E+00	6.39E-01	5.00E-01	1.37E+00	1.37E+00	6.66E-01	0.00E+00	3.07E+00	3.75E-01
Sample7	3.61E+00	8.06E+00	6.29E+00	2.20E+00	2.52E+00	1.79E+00	6.55E-01	1.84E+00	2.08E+00
Sample8	2.28E+00	0.00E+00	1.84E+00	3.02E+00	2.53E+00	2.13E+00	0.00E+00	5.00E-01	1.49E+00
Sample9	0.00E+00	1.25E-01	4.72E+00	3.06E+00	0.00E+00	2.73E+00	8.75E-01	1.25E-01	3.77E+00
Sample10	1.74E+00	0.00E+00	1.39E+00	2.47E+00	2.26E+00	2.97E+00	0.00E+00	2.62E+00	5.00E-01
Sample11	4.01E+00	4.12E+00	0.00E+00	7.06E-01	6.81E-01	1.80E+00	2.50E-01	4.51E+00	1.25E-01
Sample12	0.00E+00	2.15E+00	0.00E+00	1.66E+00	1.68E+00	2.12E+00	1.25E-01	3.15E+00	2.85E+00
Sample13	0.00E+00	3.75E-01	5.00E-01	2.61E+00	2.54E+00	1.69E+00	2.50E-01	1.62E+00	1.65E+00
Sample14	1.31E+00	3.80E+00	3.53E+00	1.65E+00	1.90E+00	0.00E+00	3.43E+00	1.61E+00	1.90E+00
Sample15	3.09E+00	2.50E-01	2.50E-01	1.86E+00	1.35E+00	2.50E-01	1.23E+00	2.12E+00	1.62E+00
Sample16	5.92E+00	0.00E+00	1.00E+00	7.50E-01	3.38E+00	4.46E+00	0.00E+00	4.30E+00	1.25E-01
Sample17	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.96E+00	0.00E+00	1.96E+00
Sample18	1.50E+00	6.56E+00	5.93E+00	3.04E+00	1.63E+00	1.57E+00	0.00E+00	1.54E+00	1.16E+00
Sample19	1.65E+00	0.00E+00	1.80E+00	9.59E-01	2.52E+00	1.91E+00	5.81E-01	1.54E+00	2.29E+00
Sample20	1.37E+00	0.00E+00	1.21E+00	2.60E+00	2.06E+00	2.17E+00	1.25E-01	1.62E+00	1.23E+00
Sample21	1.36E+00	0.00E+00	1.50E+00	2.97E+00	0.00E+00	3.13E+00	1.25E-01	2.47E+00	1.56E+00
Sample22	1.87E+00	0.00E+00	1.28E+00	2.38E+00	2.68E+00	2.31E+00	2.63E-01	3.75E-01	2.35E+00
Sample23	3.20E+00	6.15E+00	2.04E+00	6.39E-01	1.71E+00	1.11E+00	7.50E-01	5.84E+00	1.62E+00
Sample24	3.98E+00	1.12E+00	2.25E+00	8.75E-01	2.01E+00	1.37E+00	6.25E-01	2.30E+00	1.36E+00
Sample25	1.12E+00	3.75E-01	1.00E+00	2.70E+00	2.76E+00	3.00E+00	9.44E-01	1.29E+00	1.00E+00
Sample26	1.58E+00	3.58E+00	3.75E-01	8.75E-01	2.75E+00	1.25E+00	3.44E+00	0.00E+00	2.36E+00
Sample27	1.72E+00	2.50E-01	1.16E+00	1.16E+00	2.42E+00	1.32E+00	1.25E-01	7.43E-01	2.56E+00
Sample28	7.50E-01	0.00E+00	1.86E+00	2.49E+00	1.42E+00	2.40E+00	0.00E+00	1.88E+00	1.75E+00
Sample29	1.62E+00	0.00E+00	0.00E+00	2.75E+00	2.66E+00	0.00E+00	2.98E+00	7.43E-01	1.88E+00
Sample30	1.24E+00	3.23E+00	3.65E+00	1.56E+00	4.47E+00	2.24E+00	2.10E+00	1.06E+00	1.16E+00
Sample31	8.18E-01	0.00E+00	1.12E+00	2.84E+00	2.09E+00	1.56E+00	9.82E-01	8.85E-01	2.95E+00
Sample32	7.89E-01	0.00E+00	1.78E+00	2.44E+00	6.25E-01	2.98E+00	1.25E-01	5.00E-01	1.37E+00
Sample33	9.44E-01	5.51E+00	5.15E+00	2.07E+00	9.01E-01	1.57E+00	0.00E+00	2.69E+00	4.20E-01
Sample34	1.86E+00	0.00E+00	1.75E+00	1.91E+00	2.72E+00	2.64E+00	1.04E+00	3.75E-01	4.98E-01
Sample35	7.43E-01	0.00E+00	1.99E+00	3.03E+00	2.73E+00	2.76E+00	3.75E-01	7.56E-01	2.72E+00
Sample36	3.75E-01	0.00E+00	1.10E+00	2.88E+00	1.55E+00	2.92E+00	1.37E+00	1.80E+00	1.00E+00
Sample37	8.75E-01	1.07E+00	8.75E-01	2.81E+00	1.99E+00	1.16E+00	0.00E+00	1.52E+00	8.61E-01
Sample38	1.51E+00	0.00E+00	5.15E-01	1.72E+00	1.63E+00	1.79E+00	1.25E-01	2.10E+00	7.43E-01
Sample39	4.20E+00	6.01E+00	3.70E+00	1.40E+00	1.64E+00	1.76E+00	2.50E-01	6.78E+00	0.00E+00
Sample40	3.75E-01	0.00E+00	1.13E+00	2.82E+00	3.75E-01	3.42E+00	0.00E+00	6.25E-01	3.61E+00
