Samples	Signature A	Signature B
Sample1	0	80
Sample2	29	0
Sample3	29	0
Sample4	0	41
Sample5	0	21
Sample6	0	35
Sample7	27	50
Sample8	28	0
Sample9	28	0
Sample10	27	0
Sample11	0	33
Sample12	23	0
Sample13	26	0
Sample14	0	46
Sample15	0	37
Sample16	0	36
Sample17	12	0
Sample18	27	47
Sample19	29	0
Sample20	26	0
Sample21	26	0
Sample22	31	0
Sample23	0	75
Sample24	0	34
Sample25	29	0
Sample26	0	25
Sample27	21	9
Sample28	29	0
Sample29	23	0
Sample30	20	23
Sample31	28	0
Sample32	26	0
Sample33	31	40
Sample34	29	0
Sample35	29	0
Sample36	29	0
Sample37	28	0
Sample38	28	0
Sample39	0	83
Sample40	29	0
