Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	80	0.772	60.396	75.495%	9.764	72.777%	0.5658
Sample2	29	0.975	6.487	22.369%	1.546	22.551%	0.1228
Sample3	29	0.956	7.789	26.859%	1.922	29.31%	0.1371
Sample4	41	0.868	26.927	65.676%	4.825	50.033%	0.4566
Sample5	21	0.769	19.641	93.529%	3.698	64.374%	0.7596
Sample6	35	0.877	24.136	68.96%	4.053	48.792%	0.4675
Sample7	77	0.886	42.42	55.091%	7.038	46.92%	0.334
Sample8	28	0.936	9.632	34.4%	2.338	35.247%	0.2788
Sample9	28	0.805	18.052	64.471%	3.907	61.775%	0.7533
Sample10	27	0.953	8.429	31.219%	2.074	30.917%	0.1641
Sample11	33	0.888	20.184	61.164%	3.434	46.304%	0.3942
Sample12	23	0.746	18.645	81.065%	4.275	66.764%	0.707
Sample13	26	0.913	9.547	36.719%	2.514	40.782%	0.1885
Sample14	46	0.834	33.052	71.852%	5.385	55.542%	0.5616
Sample15	37	0.92	21.428	57.914%	3.765	41.833%	0.3777
Sample16	36	0.896	24.274	67.428%	4.466	47.608%	0.4623
Sample17	12	0.497	16.617	138.475%	3.342	89.319%	1.8891
Sample18	74	0.899	37.336	50.454%	6.25	45.105%	0.2731
Sample19	29	0.898	10.367	35.748%	2.89	45.134%	0.5928
Sample20	26	0.964	7.063	27.165%	1.587	26.45%	0.1138
Sample21	26	0.937	9.587	36.873%	2.371	35.744%	0.2218
Sample22	31	0.958	8.839	28.513%	2.135	28.788%	0.1375
Sample23	75	0.931	31.602	42.136%	5.291	36.775%	0.2897
Sample24	34	0.899	21.203	62.362%	3.583	44.788%	0.3983
Sample25	29	0.947	8.59	29.621%	2.12	32.33%	0.1873
Sample26	25	0.747	23.751	95.004%	4.153	66.501%	0.8313
Sample27	30	0.92	14.056	46.853%	2.546	39.286%	0.3927
Sample28	29	0.947	8.589	29.617%	2.12	32.33%	0.1659
Sample29	23	0.7	20.363	88.535%	4.237	73.757%	0.9423
Sample30	43	0.865	23.703	55.123%	4.278	51.501%	0.3899
Sample31	28	0.93	9.617	34.346%	2.387	36.832%	0.269
Sample32	26	0.919	10.548	40.569%	2.566	39.594%	0.3544
Sample33	71	0.91	34.954	49.231%	5.7	42.604%	0.3437
Sample34	29	0.973	6.895	23.776%	1.673	23.9%	0.1358
Sample35	29	0.964	7.272	25.076%	1.782	26.564%	0.1821
Sample36	29	0.975	6.487	22.369%	1.546	22.551%	0.1228
Sample37	28	0.973	6.438	22.993%	1.507	23.254%	0.1563
Sample38	28	0.965	7.091	25.325%	1.71	26.386%	0.177
Sample39	83	0.926	35.412	42.665%	5.962	38.892%	0.2127
Sample40	29	0.95	8.494	29.29%	2.097	31.26%	0.2754
