Samples	SBS1	SBS5	Signature A	Signature B
Sample1	0	29	0	51
Sample2	0	0	29	0
Sample3	0	1	28	0
Sample4	0	0	0	41
Sample5	0	1	0	20
Sample6	1	0	0	34
Sample7	0	0	27	50
Sample8	0	3	25	0
Sample9	1	0	27	0
Sample10	0	0	27	0
Sample11	1	0	0	32
Sample12	1	3	19	0
Sample13	0	0	26	0
Sample14	0	3	0	43
Sample15	0	0	0	37
Sample16	0	0	0	36
Sample17	2	1	9	0
Sample18	0	0	27	47
Sample19	0	4	25	0
Sample20	0	0	26	0
Sample21	0	0	26	0
Sample22	0	3	28	0
Sample23	0	2	0	73
Sample24	1	0	0	33
Sample25	0	2	27	0
Sample26	1	4	0	20
Sample27	0	0	21	9
Sample28	0	4	25	0
Sample29	1	11	11	0
Sample30	0	0	20	23
Sample31	0	0	28	0
Sample32	0	0	26	0
Sample33	0	0	31	40
Sample34	0	0	29	0
Sample35	0	0	29	0
Sample36	0	0	29	0
Sample37	0	0	28	0
Sample38	0	0	28	0
Sample39	0	10	0	73
Sample40	0	0	29	0
