Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	80	0.784	59.506	74.382%	8.646	64.443%	0.5286
Sample2	29	0.975	6.487	22.369%	1.546	22.551%	0.1228
Sample3	29	0.956	8.423	29.045%	1.917	29.234%	0.1555
Sample4	41	0.868	26.927	65.676%	4.825	50.033%	0.4566
Sample5	21	0.77	20.066	95.552%	3.708	64.548%	0.7774
Sample6	35	0.877	24.066	68.76%	4.064	48.925%	0.4736
Sample7	77	0.886	42.42	55.091%	7.038	46.92%	0.334
Sample8	28	0.938	11.742	41.936%	2.348	35.397%	0.2893
Sample9	28	0.806	18.45	65.893%	3.865	61.111%	0.7627
Sample10	27	0.953	8.429	31.219%	2.074	30.917%	0.1641
Sample11	33	0.889	20.199	61.209%	3.424	46.169%	0.4
Sample12	23	0.751	19.949	86.735%	4.234	66.124%	0.7617
Sample13	26	0.913	9.547	36.719%	2.514	40.782%	0.1885
Sample14	46	0.834	33.825	73.533%	5.357	55.253%	0.5696
Sample15	37	0.92	21.428	57.914%	3.765	41.833%	0.3777
Sample16	36	0.896	24.274	67.428%	4.466	47.608%	0.4623
Sample17	12	0.544	15.938	132.817%	3.169	84.695%	1.7926
Sample18	74	0.899	37.336	50.454%	6.25	45.105%	0.2731
Sample19	29	0.9	12.888	44.441%	2.794	43.635%	0.4125
Sample20	26	0.964	7.063	27.165%	1.587	26.45%	0.1138
Sample21	26	0.937	9.587	36.873%	2.371	35.744%	0.2218
Sample22	31	0.959	10.184	32.852%	2.207	29.759%	0.1918
Sample23	75	0.931	32.061	42.748%	5.267	36.608%	0.2931
Sample24	34	0.9	21.209	62.379%	3.598	44.975%	0.4044
Sample25	29	0.947	9.757	33.645%	2.102	32.055%	0.1951
Sample26	25	0.755	24.744	98.976%	4.118	65.941%	0.8414
Sample27	30	0.92	14.056	46.853%	2.546	39.286%	0.3927
Sample28	29	0.949	11.078	38.2%	2.091	31.887%	0.2254
Sample29	23	0.744	23.95	104.13%	3.888	67.681%	0.8785
Sample30	43	0.865	23.703	55.123%	4.278	51.501%	0.3899
Sample31	28	0.93	9.617	34.346%	2.387	36.832%	0.269
Sample32	26	0.919	10.548	40.569%	2.566	39.594%	0.3544
Sample33	71	0.91	34.954	49.231%	5.7	42.604%	0.3437
Sample34	29	0.973	6.895	23.776%	1.673	23.9%	0.1358
Sample35	29	0.964	7.272	25.076%	1.782	26.564%	0.1821
Sample36	29	0.975	6.487	22.369%	1.546	22.551%	0.1228
Sample37	28	0.973	6.438	22.993%	1.507	23.254%	0.1563
Sample38	28	0.965	7.091	25.325%	1.71	26.386%	0.177
Sample39	83	0.928	37.891	45.652%	5.758	37.561%	0.2401
Sample40	29	0.95	8.494	29.29%	2.097	31.26%	0.2754
