Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I	Signature J
Sample1	8	0	32	9	1	7	0	3	16	0
Sample2	0	18	0	0	9	23	7	0	11	16
Sample3	14	14	12	11	7	0	0	12	5	0
Sample4	0	18	0	0	26	33	0	0	0	0
Sample5	1	0	7	3	46	4	0	5	6	0
Sample6	30	0	16	5	14	8	0	2	0	3
Sample7	30	0	0	7	10	0	4	33	0	0
Sample8	21	19	0	10	0	0	13	6	7	0
Sample9	6	12	0	26	0	10	0	20	0	11
Sample10	25	1	17	0	14	17	0	4	0	0
Sample11	21	0	0	24	0	0	16	3	0	13
Sample12	0	41	2	14	17	0	7	0	0	0
Sample13	13	0	0	29	0	7	8	1	3	12
Sample14	8	17	21	1	8	12	0	9	3	0
Sample15	35	0	8	25	0	0	7	0	0	3
Sample16	15	17	0	17	2	0	4	7	16	0
Sample17	0	0	4	14	0	18	0	15	28	0
Sample18	0	15	15	21	9	10	9	0	0	0
Sample19	7	9	0	5	11	0	6	12	11	16
Sample20	12	1	11	15	12	0	0	6	12	5
Sample21	15	7	15	3	14	3	1	18	5	0
Sample22	7	0	12	0	15	8	17	6	10	0
Sample23	0	6	26	12	13	0	3	6	0	5
Sample24	16	17	5	27	0	3	5	0	1	0
Sample25	35	0	2	0	0	17	0	11	2	13
Sample26	7	0	22	13	5	0	6	13	0	8
Sample27	11	26	14	8	4	0	0	2	6	6
Sample28	27	0	1	0	2	0	28	8	3	6
Sample29	0	17	7	0	0	0	33	0	16	0
Sample30	7	9	1	0	14	21	4	0	11	14
Sample31	0	16	0	11	1	21	0	6	16	9
Sample32	27	11	9	2	20	0	0	0	0	10
Sample33	5	0	0	8	2	13	30	1	21	0
Sample34	20	9	0	4	0	0	14	19	0	12
Sample35	23	0	10	0	4	17	0	20	6	1
Sample36	18	5	27	1	11	1	0	6	7	0
Sample37	0	21	0	0	12	15	1	0	17	15
Sample38	1	0	18	0	0	0	35	0	4	19
Sample39	19	13	0	11	3	9	5	8	0	14
Sample40	9	0	22	0	0	0	10	10	28	0
