Samples	Signature A	Signature B
Sample1	0	76
Sample2	30	54
Sample3	24	51
Sample4	66	11
Sample5	13	59
Sample6	42	36
Sample7	72	12
Sample8	76	0
Sample9	78	7
Sample10	30	48
Sample11	77	0
Sample12	72	9
Sample13	73	0
Sample14	18	61
Sample15	78	0
Sample16	78	0
Sample17	21	58
Sample18	28	51
Sample19	63	14
Sample20	42	32
Sample21	28	53
Sample22	13	62
Sample23	3	68
Sample24	74	0
Sample25	63	17
Sample26	34	40
Sample27	31	46
Sample28	49	26
Sample29	24	49
Sample30	40	41
Sample31	57	23
Sample32	58	21
Sample33	46	34
Sample34	67	11
Sample35	28	53
Sample36	7	69
Sample37	26	55
Sample38	0	77
Sample39	68	14
Sample40	0	79
