Samples	Signature A	Signature B
Sample1	7.38E+00	7.38E+00
Sample2	1.17E+01	1.17E+01
Sample3	1.12E+01	1.12E+01
Sample4	9.82E+00	9.82E+00
Sample5	1.10E+01	1.10E+01
Sample6	1.21E+01	1.21E+01
Sample7	1.19E+01	1.19E+01
Sample8	9.94E+00	9.94E+00
Sample9	9.71E+00	9.71E+00
Sample10	1.17E+01	1.17E+01
Sample11	8.71E+00	8.71E+00
Sample12	9.39E+00	9.39E+00
Sample13	1.05E+01	1.05E+01
Sample14	9.21E+00	9.21E+00
Sample15	7.22E+00	7.22E+00
Sample16	9.34E+00	9.34E+00
Sample17	8.14E+00	8.14E+00
Sample18	9.40E+00	9.40E+00
Sample19	9.46E+00	9.46E+00
Sample20	1.08E+01	1.08E+01
Sample21	9.76E+00	9.76E+00
Sample22	7.55E+00	7.53E+00
Sample23	9.85E+00	9.85E+00
Sample24	1.25E+01	1.25E+01
Sample25	9.61E+00	9.61E+00
Sample26	6.61E+00	6.61E+00
Sample27	1.05E+01	1.05E+01
Sample28	1.16E+01	1.16E+01
Sample29	1.08E+01	1.08E+01
Sample30	9.28E+00	9.28E+00
Sample31	7.40E+00	7.40E+00
Sample32	1.14E+01	1.14E+01
Sample33	6.37E+00	6.37E+00
Sample34	1.01E+01	1.01E+01
Sample35	1.04E+01	1.04E+01
Sample36	6.65E+00	6.65E+00
Sample37	1.30E+01	1.30E+01
Sample38	1.14E+01	1.14E+01
Sample39	1.12E+01	1.12E+01
Sample40	1.01E+01	1.01E+01
