Samples	Signature A	Signature B	Signature C
Sample1	0	66	10
Sample2	0	32	52
Sample3	15	44	16
Sample4	28	14	35
Sample5	24	31	17
Sample6	44	34	0
Sample7	38	21	25
Sample8	25	0	51
Sample9	12	24	49
Sample10	31	47	0
Sample11	64	0	13
Sample12	30	0	51
Sample13	30	0	43
Sample14	13	57	9
Sample15	75	3	0
Sample16	28	0	50
Sample17	0	52	27
Sample18	19	33	27
Sample19	55	0	22
Sample20	44	15	15
Sample21	19	44	18
Sample22	34	40	1
Sample23	9	44	18
Sample24	28	0	46
Sample25	33	28	19
Sample26	41	33	0
Sample27	16	35	26
Sample28	67	8	0
Sample29	59	14	0
Sample30	29	22	30
Sample31	1	32	47
Sample32	57	10	12
Sample33	41	25	14
Sample34	47	13	18
Sample35	13	58	10
Sample36	21	55	0
Sample37	0	31	50
Sample38	48	29	0
Sample39	34	14	34
Sample40	0	59	20
