Samples	Signature A	Signature B	Signature C
Sample1	1.05E+01	1.17E+01	3.36E+00
Sample2	9.35E+00	1.12E+01	7.72E+00
Sample3	8.95E+00	9.85E+00	7.57E+00
Sample4	6.35E+00	9.76E+00	8.20E+00
Sample5	9.62E+00	7.79E+00	1.12E+01
Sample6	5.37E+00	5.65E+00	9.68E+00
Sample7	9.25E+00	1.20E+01	1.00E+01
Sample8	1.16E+01	7.40E+00	9.44E+00
Sample9	7.91E+00	1.08E+01	8.61E+00
Sample10	9.70E+00	9.79E+00	1.12E+01
Sample11	5.91E+00	8.98E+00	9.36E+00
Sample12	1.12E+01	5.67E+00	8.74E+00
Sample13	1.26E+01	6.59E+00	1.25E+01
Sample14	9.67E+00	1.01E+01	6.50E+00
Sample15	8.66E+00	5.13E+00	9.77E+00
Sample16	9.70E+00	6.19E+00	8.37E+00
Sample17	8.06E+00	8.77E+00	5.91E+00
Sample18	9.72E+00	9.44E+00	8.29E+00
Sample19	7.12E+00	4.61E+00	6.09E+00
Sample20	9.36E+00	7.50E+00	1.16E+01
Sample21	4.36E+00	1.15E+01	1.12E+01
Sample22	5.21E+00	9.61E+00	8.76E+00
Sample23	1.11E+01	7.15E+00	8.89E+00
Sample24	1.15E+01	9.49E+00	1.05E+01
Sample25	8.77E+00	1.15E+01	8.49E+00
Sample26	6.95E+00	8.22E+00	6.74E+00
Sample27	9.91E+00	1.10E+01	7.46E+00
Sample28	4.32E+00	8.95E+00	9.14E+00
Sample29	9.73E+00	8.51E+00	1.18E+01
Sample30	8.65E+00	9.55E+00	8.28E+00
Sample31	1.15E+01	1.06E+01	5.25E+00
Sample32	7.43E+00	6.34E+00	9.94E+00
Sample33	7.43E+00	8.56E+00	9.37E+00
Sample34	8.33E+00	1.00E+01	9.98E+00
Sample35	1.02E+01	1.10E+01	8.79E+00
Sample36	2.01E+00	7.32E+00	6.98E+00
Sample37	9.87E+00	1.14E+01	6.55E+00
Sample38	1.62E+00	1.27E+01	1.21E+01
Sample39	1.21E+01	7.79E+00	1.07E+01
Sample40	8.90E+00	1.14E+01	1.04E+01
