Samples	Signature A	Signature B	Signature C	Signature D
Sample1	6.73E+00	9.81E+00	4.98E+00	1.06E+01
Sample2	9.24E+00	2.63E+00	1.27E+01	1.05E+01
Sample3	4.47E+00	6.03E+00	9.83E+00	9.93E+00
Sample4	6.51E+00	3.76E+00	8.26E+00	9.06E+00
Sample5	7.82E+00	1.06E+01	6.07E+00	7.68E+00
Sample6	9.67E+00	6.66E+00	1.23E+01	5.82E+00
Sample7	8.60E+00	8.38E+00	1.20E+01	5.29E+00
Sample8	9.24E+00	4.79E+00	3.49E+00	7.11E+00
Sample9	6.26E+00	5.81E+00	7.61E+00	5.14E+00
Sample10	7.63E+00	4.28E+00	7.85E+00	8.33E+00
Sample11	9.42E+00	9.28E+00	4.33E+00	9.64E+00
Sample12	9.98E+00	9.76E+00	8.01E+00	4.83E+00
Sample13	1.17E+01	1.04E+01	2.50E+00	3.64E+00
Sample14	2.12E+00	7.07E+00	8.28E+00	6.52E+00
Sample15	7.85E+00	8.13E+00	8.59E+00	3.97E+00
Sample16	7.34E+00	9.07E+00	8.34E+00	8.10E+00
Sample17	1.00E+01	8.43E+00	6.75E+00	8.47E+00
Sample18	8.30E+00	3.29E+00	4.62E+00	8.56E+00
Sample19	8.84E+00	6.47E+00	6.28E+00	3.64E+00
Sample20	1.02E+01	4.32E+00	9.06E+00	5.26E+00
Sample21	9.96E+00	7.24E+00	9.02E+00	8.34E+00
Sample22	6.63E+00	7.93E+00	9.19E+00	6.79E+00
Sample23	1.01E+01	4.86E+00	9.74E+00	1.04E+01
Sample24	7.10E+00	1.22E+01	7.03E+00	4.85E+00
Sample25	9.09E+00	5.40E+00	6.86E+00	3.81E+00
Sample26	6.72E+00	8.62E+00	6.68E+00	8.43E+00
Sample27	4.32E+00	7.34E+00	9.82E+00	9.93E+00
Sample28	4.33E+00	9.78E+00	7.03E+00	9.12E+00
Sample29	9.95E+00	1.08E+01	6.45E+00	7.92E+00
Sample30	8.86E+00	6.30E+00	6.31E+00	8.35E+00
Sample31	1.25E+01	5.98E+00	1.17E+01	3.61E+00
Sample32	8.46E+00	4.43E+00	1.14E+01	4.90E+00
Sample33	7.24E+00	6.59E+00	4.25E+00	4.80E+00
Sample34	9.77E+00	8.63E+00	9.75E+00	2.99E+00
Sample35	6.96E+00	1.09E+01	9.12E+00	3.94E+00
Sample36	4.94E+00	1.01E+01	1.02E+01	8.17E+00
Sample37	9.38E+00	2.57E+00	1.02E+01	8.22E+00
Sample38	6.80E+00	8.80E+00	1.04E+01	1.31E+01
Sample39	7.91E+00	7.07E+00	1.23E+01	5.41E+00
Sample40	4.09E+00	6.71E+00	1.06E+01	1.26E+01
