Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	11	38	0	0	14	13	0
Sample2	0	17	7	32	2	12	14
Sample3	13	4	1	22	16	18	1
Sample4	11	12	14	22	17	0	1
Sample5	29	27	0	0	8	0	8
Sample6	20	16	8	8	20	0	6
Sample7	20	0	33	12	19	0	0
Sample8	17	0	25	30	0	0	4
Sample9	6	0	32	11	4	22	10
Sample10	7	29	9	19	14	0	0
Sample11	28	0	21	5	0	6	17
Sample12	20	0	6	6	1	34	14
Sample13	31	0	14	0	0	10	18
Sample14	0	18	13	8	19	21	0
Sample15	33	1	0	10	0	16	18
Sample16	25	0	11	24	3	7	8
Sample17	16	5	7	4	28	19	0
Sample18	9	11	0	2	0	27	30
Sample19	16	0	11	2	11	25	12
Sample20	25	9	0	0	18	16	6
Sample21	13	23	15	6	12	10	2
Sample22	18	27	4	0	13	5	8
Sample23	0	29	18	0	10	11	3
Sample24	31	0	3	8	0	26	6
Sample25	12	13	17	29	9	0	0
Sample26	0	5	12	0	9	17	31
Sample27	10	12	0	22	5	25	3
Sample28	8	2	19	6	18	0	22
Sample29	0	5	0	23	7	6	32
Sample30	1	12	22	15	23	0	8
Sample31	13	0	13	26	20	8	0
Sample32	25	13	3	8	14	8	8
Sample33	16	0	9	7	26	0	22
Sample34	2	0	42	7	10	3	14
Sample35	0	15	23	20	23	0	0
Sample36	7	23	4	6	23	13	0
Sample37	3	17	0	32	3	14	12
Sample38	0	27	7	0	0	5	38
Sample39	21	6	13	17	0	23	2
Sample40	2	38	14	1	13	6	5
