Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample1	0.00E+00	1.25E+00	1.74E+00	7.42E+00	7.17E+00	4.93E+00	7.73E+00
Sample2	4.64E+00	6.87E+00	1.08E+01	5.82E+00	4.08E+00	4.41E+00	3.94E+00
Sample3	8.75E-01	8.75E-01	9.68E+00	3.31E+00	5.94E+00	6.40E+00	5.45E+00
Sample4	9.53E+00	5.45E+00	7.18E+00	3.10E+00	1.12E+00	4.51E+00	8.83E+00
Sample5	6.09E+00	0.00E+00	1.37E+00	9.20E+00	1.12E+00	5.96E+00	8.78E+00
Sample6	8.75E+00	5.45E+00	5.62E+00	7.77E+00	4.38E+00	7.97E+00	2.62E+00
Sample7	6.96E+00	6.21E+00	3.12E+00	2.12E+00	5.31E+00	7.98E+00	7.51E+00
Sample8	8.39E+00	8.66E+00	9.28E+00	5.81E-01	1.47E+00	5.15E+00	9.47E+00
Sample9	3.05E+00	4.62E+00	7.69E+00	4.85E+00	8.47E+00	4.33E+00	2.39E+00
Sample10	9.06E+00	6.15E+00	5.91E+00	7.32E+00	2.27E+00	6.93E+00	3.44E+00
Sample11	6.43E+00	4.46E+00	9.62E+00	1.62E+00	4.05E+00	4.94E+00	6.17E+00
Sample12	4.63E+00	4.15E+00	4.20E+00	4.21E+00	9.94E+00	2.46E+00	8.66E+00
Sample13	6.61E+00	3.22E+00	3.86E+00	4.84E+00	5.96E+00	5.98E+00	1.11E+01
Sample14	6.74E+00	3.66E+00	9.82E+00	9.11E+00	8.33E+00	7.82E+00	1.25E-01
Sample15	1.09E+01	4.36E+00	9.33E+00	2.07E+00	5.26E+00	1.56E+00	6.21E+00
Sample16	8.76E+00	6.26E+00	2.18E+00	2.12E+00	6.00E+00	4.20E+00	6.82E+00
Sample17	7.50E-01	1.68E+00	4.30E+00	9.63E+00	9.06E+00	6.39E+00	9.82E+00
Sample18	1.00E+01	3.40E+00	5.82E+00	3.64E+00	5.16E+00	4.66E+00	4.25E+00
Sample19	6.56E+00	1.13E+01	1.75E+00	1.74E+00	9.88E+00	5.28E+00	1.03E+01
Sample20	7.09E+00	5.28E+00	2.65E+00	3.72E+00	4.20E+00	7.03E+00	8.68E+00
Sample21	2.25E+00	7.05E+00	1.72E+00	1.16E+01	8.91E+00	4.78E+00	8.91E+00
Sample22	6.11E+00	5.95E+00	2.91E+00	6.03E+00	5.56E+00	3.55E+00	3.43E+00
Sample23	6.25E-01	5.87E+00	0.00E+00	8.59E+00	6.94E+00	6.80E+00	8.80E+00
Sample24	2.58E+00	9.29E+00	5.11E+00	1.75E+00	3.84E+00	3.91E+00	8.73E+00
Sample25	4.25E+00	4.58E+00	6.74E+00	6.49E+00	3.02E+00	4.20E+00	8.05E+00
Sample26	6.73E+00	4.18E+00	4.26E+00	6.25E-01	3.50E+00	6.22E+00	1.99E+00
Sample27	2.61E+00	9.44E-01	7.54E+00	3.34E+00	5.94E+00	5.25E+00	4.82E+00
Sample28	7.93E+00	7.55E+00	2.39E+00	3.72E+00	1.68E+00	5.89E+00	4.69E+00
Sample29	1.01E+01	2.38E+00	8.73E+00	2.46E+00	4.59E+00	3.93E+00	4.00E+00
Sample30	6.15E+00	3.39E+00	3.95E+00	4.42E+00	1.95E+00	7.16E+00	5.96E+00
Sample31	2.14E+00	4.54E+00	5.48E+00	1.00E+00	5.14E+00	9.63E+00	6.33E+00
Sample32	7.02E+00	8.06E+00	3.75E-01	7.57E+00	2.46E+00	3.41E+00	7.31E+00
Sample33	5.19E+00	2.93E+00	6.14E+00	2.76E+00	1.00E+00	7.00E+00	5.64E+00
Sample34	3.10E+00	6.31E+00	1.12E+00	4.35E+00	7.07E+00	8.45E+00	8.71E+00
Sample35	3.36E+00	5.05E+00	6.67E+00	7.85E+00	6.69E+00	2.93E+00	3.37E+00
Sample36	6.37E+00	4.90E+00	4.60E+00	6.66E+00	5.49E+00	3.98E+00	7.05E+00
Sample37	3.61E+00	1.89E+00	6.48E+00	4.64E+00	5.80E+00	8.96E+00	4.66E+00
Sample38	9.89E+00	5.96E+00	1.36E+00	3.70E+00	5.55E+00	9.12E+00	1.05E+00
Sample39	2.48E+00	1.00E+01	7.30E+00	7.64E+00	4.58E+00	5.94E+00	3.76E+00
Sample40	7.95E+00	2.38E+00	6.00E+00	1.14E+01	4.72E+00	5.60E+00	2.99E+00
