Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample1	5.94E+00	3.75E-01	5.51E+00	3.25E+00	0.00E+00	5.21E+00	9.64E+00	9.18E+00
Sample2	3.18E+00	8.54E+00	9.57E+00	5.03E+00	2.46E+00	5.49E+00	1.60E+00	8.35E+00
Sample3	3.14E+00	1.05E+00	4.23E+00	9.42E+00	5.46E+00	7.79E+00	9.22E+00	3.93E+00
Sample4	9.02E+00	4.64E+00	6.57E+00	3.85E+00	2.13E+00	6.33E+00	5.45E+00	3.74E+00
Sample5	6.18E+00	2.29E+00	2.12E+00	6.36E+00	4.17E+00	3.79E+00	8.76E+00	9.61E+00
Sample6	6.51E+00	5.87E+00	3.62E+00	4.32E+00	6.54E+00	9.78E+00	3.59E+00	0.00E+00
Sample7	7.80E+00	0.00E+00	4.99E+00	7.05E+00	5.52E+00	2.03E+00	5.71E+00	5.73E+00
Sample8	8.77E+00	4.10E+00	9.29E+00	2.40E+00	0.00E+00	3.94E+00	4.65E+00	5.87E+00
Sample9	5.06E+00	7.37E+00	5.89E+00	3.36E+00	7.24E+00	1.80E+00	1.96E+00	2.99E+00
Sample10	3.72E+00	1.05E+01	2.84E+00	6.77E+00	4.98E+00	7.47E+00	2.60E+00	2.25E+00
Sample11	4.62E+00	4.08E+00	6.41E+00	3.46E+00	6.64E+00	5.53E+00	2.25E+00	3.28E+00
Sample12	6.47E+00	1.62E+00	7.76E+00	4.39E+00	5.88E+00	2.28E+00	3.75E-01	6.05E+00
Sample13	5.97E+00	5.05E+00	5.69E+00	2.00E+00	6.84E+00	7.85E+00	6.33E+00	8.00E+00
Sample14	3.42E+00	1.07E+01	0.00E+00	7.51E+00	8.75E-01	8.52E+00	7.78E+00	2.09E+00
Sample15	5.33E+00	9.83E+00	6.79E+00	1.64E+00	8.98E+00	5.44E+00	2.65E+00	6.00E+00
Sample16	4.79E+00	4.84E+00	5.58E+00	2.19E+00	9.75E+00	5.35E+00	3.18E+00	2.34E+00
Sample17	5.22E+00	4.10E+00	3.78E+00	5.53E+00	6.39E-01	8.82E+00	5.76E+00	9.49E+00
Sample18	5.31E+00	5.40E+00	6.57E+00	9.77E+00	4.47E+00	2.95E+00	6.36E+00	6.98E+00
Sample19	9.82E+00	3.23E+00	4.90E+00	5.00E+00	7.13E+00	1.01E+01	2.98E+00	3.04E+00
Sample20	3.66E+00	1.25E+00	6.42E+00	5.45E+00	7.32E+00	7.01E+00	1.62E+00	6.25E+00
Sample21	8.63E+00	6.90E+00	4.10E+00	9.90E+00	2.72E+00	5.00E-01	1.06E+01	1.12E+00
Sample22	4.59E+00	2.99E+00	3.39E+00	5.58E+00	7.66E+00	6.02E+00	5.63E+00	2.43E+00
Sample23	6.60E+00	2.12E+00	4.81E+00	5.06E+00	3.12E+00	6.18E+00	4.70E+00	8.86E+00
Sample24	7.50E+00	1.10E+00	5.70E+00	4.52E+00	1.96E+00	0.00E+00	4.39E+00	8.36E+00
Sample25	5.26E+00	7.47E+00	2.34E+00	3.15E+00	3.88E+00	4.30E+00	1.68E+00	3.11E+00
Sample26	3.92E+00	2.26E+00	4.97E+00	4.56E+00	8.70E+00	5.24E+00	5.29E+00	2.41E+00
Sample27	1.63E+00	3.34E+00	5.30E+00	3.31E+00	2.83E+00	4.75E+00	6.72E+00	4.80E+00
Sample28	4.30E+00	1.02E+00	4.22E+00	4.99E+00	7.45E+00	7.07E+00	2.38E+00	3.38E+00
Sample29	0.00E+00	8.39E+00	6.04E+00	8.75E-01	9.70E+00	6.05E+00	1.62E+00	6.17E+00
Sample30	3.12E+00	3.98E+00	5.57E+00	3.10E+00	6.65E+00	3.85E+00	4.59E+00	2.36E+00
Sample31	5.57E+00	5.20E+00	4.02E+00	6.87E+00	1.86E+00	1.67E+00	9.85E+00	5.23E+00
Sample32	6.79E+00	4.25E+00	8.95E+00	1.50E+00	6.29E+00	6.05E+00	3.34E+00	7.13E+00
Sample33	6.79E+00	4.17E+00	6.37E+00	3.21E+00	9.28E+00	1.36E+00	4.28E+00	3.72E+00
Sample34	5.28E+00	0.00E+00	4.11E+00	8.41E+00	3.93E+00	6.14E+00	5.90E+00	6.24E+00
Sample35	4.16E+00	7.57E+00	6.57E+00	4.03E+00	2.95E+00	4.06E+00	3.82E+00	2.92E+00
Sample36	5.40E+00	4.13E+00	5.05E+00	6.42E+00	2.85E+00	5.51E+00	3.59E+00	7.08E+00
Sample37	2.47E+00	5.29E+00	3.45E+00	8.30E+00	0.00E+00	6.34E+00	6.01E+00	3.99E+00
Sample38	4.51E+00	2.72E+00	5.46E+00	9.26E+00	7.59E+00	1.12E+01	5.11E+00	2.25E+00
Sample39	9.88E+00	6.25E+00	5.61E+00	5.58E+00	3.09E+00	8.82E+00	5.06E+00	3.25E+00
Sample40	1.64E+00	1.24E+00	1.51E+00	6.32E+00	4.05E+00	5.10E+00	8.54E+00	9.61E+00
