Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	76	0.96	24.781	32.607%	4.213	28.276%	0.2072
Sample2	84	0.961	26.282	31.288%	4.225	27.502%	0.1564
Sample3	75	0.967	22.752	30.336%	3.746	25.667%	0.1854
Sample4	77	0.941	32.452	42.145%	5.145	33.852%	0.2294
Sample5	72	0.964	21.611	30.015%	3.762	26.735%	0.1622
Sample6	78	0.968	24.391	31.271%	4.112	26.007%	0.1563
Sample7	84	0.969	26.611	31.68%	4.397	25.054%	0.1694
Sample8	76	0.939	30.426	40.034%	5.064	34.78%	0.2366
Sample9	85	0.966	25.43	29.918%	4.246	26.083%	0.1778
Sample10	78	0.961	25.27	32.397%	4.396	28.143%	0.1922
Sample11	77	0.955	25.34	32.909%	4.348	30.076%	0.1806
Sample12	81	0.971	24.265	29.957%	4.008	24.169%	0.169
Sample13	73	0.956	25.411	34.81%	4.104	29.852%	0.2281
Sample14	79	0.972	21.383	27.067%	3.543	23.413%	0.1909
Sample15	78	0.959	26.668	34.19%	4.486	28.602%	0.1923
Sample16	78	0.976	20.401	26.155%	3.439	22.199%	0.1174
Sample17	79	0.957	25.408	32.162%	4.407	28.996%	0.1868
Sample18	79	0.945	29.822	37.749%	5.024	32.634%	0.2128
Sample19	77	0.968	24.058	31.244%	3.721	25.26%	0.2092
Sample20	74	0.976	21.617	29.212%	3.392	22.869%	0.1508
Sample21	81	0.973	24.675	30.463%	3.84	23.589%	0.1962
Sample22	75	0.97	21.519	28.692%	3.514	24.543%	0.1542
Sample23	71	0.948	25.555	35.993%	4.766	32.354%	0.2205
Sample24	74	0.97	22.402	30.273%	3.505	24.187%	0.17
Sample25	80	0.971	24.052	30.065%	3.762	24.183%	0.148
Sample26	74	0.967	22.333	30.18%	3.699	25.648%	0.1722
Sample27	77	0.979	19.904	25.849%	3.032	20.488%	0.1696
Sample28	75	0.966	22.792	30.389%	3.611	25.727%	0.1568
Sample29	73	0.91	32.471	44.481%	5.566	42.318%	0.2815
Sample30	81	0.955	25.875	31.944%	4.362	29.749%	0.2115
Sample31	80	0.967	23.013	28.766%	3.808	25.33%	0.145
Sample32	79	0.959	26.605	33.677%	4.367	28.367%	0.2066
Sample33	80	0.952	27.158	33.948%	4.495	31.167%	0.2386
Sample34	78	0.96	24.065	30.853%	4.341	28.021%	0.2129
Sample35	81	0.97	24.384	30.104%	3.699	24.233%	0.1797
Sample36	76	0.979	18.869	24.828%	3.076	20.93%	0.1381
Sample37	81	0.967	24.633	30.411%	3.743	25.527%	0.1489
Sample38	77	0.944	27.934	36.278%	4.65	33.13%	0.2119
Sample39	82	0.98	22.577	27.533%	3.45	20.692%	0.1227
Sample40	79	0.965	23.606	29.881%	3.828	26.353%	0.1502
