Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	2.96E+00	1.74E+00	6.07E+00	1.21E+00	8.36E+00	8.18E-01	0.00E+00	9.20E+00	9.78E+00
Sample2	5.96E+00	2.38E+00	5.80E+00	9.31E+00	1.99E+00	3.25E+00	9.94E+00	1.99E+00	1.25E+00
Sample3	1.49E+00	3.94E+00	6.42E+00	3.25E+00	4.80E+00	5.88E+00	1.00E+00	8.01E+00	1.37E+00
Sample4	2.78E+00	7.76E+00	4.99E+00	1.58E+00	9.97E+00	1.12E+00	6.53E+00	2.46E+00	1.49E+00
Sample5	2.79E+00	3.00E+00	6.67E+00	4.75E+00	9.51E+00	5.00E-01	3.38E+00	6.08E+00	5.19E+00
Sample6	6.57E+00	5.89E+00	5.78E+00	1.95E+00	8.11E+00	4.12E+00	0.00E+00	3.12E+00	5.41E+00
Sample7	6.44E+00	5.33E+00	3.48E+00	5.05E+00	6.58E+00	2.78E+00	0.00E+00	1.65E+00	1.78E+00
Sample8	4.50E+00	7.64E+00	5.20E+00	3.04E+00	4.92E+00	4.29E+00	5.89E+00	0.00E+00	1.50E+00
Sample9	7.74E+00	4.36E+00	6.24E+00	2.26E+00	1.12E+00	2.66E+00	4.57E+00	2.25E+00	1.00E+01
Sample10	2.15E+00	6.04E+00	5.00E-01	8.42E+00	5.72E+00	0.00E+00	1.21E+01	4.71E+00	3.55E+00
Sample11	6.04E+00	4.17E+00	4.10E+00	5.76E+00	3.32E+00	5.53E+00	3.38E+00	0.00E+00	2.88E+00
Sample12	3.58E+00	9.44E+00	3.82E+00	3.41E+00	6.71E+00	6.84E+00	3.26E+00	3.04E+00	2.08E+00
Sample13	4.91E+00	2.00E+00	5.82E+00	7.26E+00	8.80E+00	3.28E+00	5.20E+00	3.85E+00	5.37E+00
Sample14	3.30E+00	9.83E+00	2.23E+00	0.00E+00	4.46E+00	0.00E+00	9.66E+00	6.19E+00	1.50E+00
Sample15	1.08E+01	4.50E+00	5.75E+00	8.06E+00	4.01E+00	2.41E+00	0.00E+00	7.50E-01	6.91E+00
Sample16	2.87E+00	3.08E+00	7.04E+00	4.92E+00	4.07E+00	7.48E+00	2.71E+00	1.61E+00	0.00E+00
Sample17	0.00E+00	3.36E+00	9.28E+00	2.18E+00	8.14E+00	0.00E+00	4.58E+00	6.19E+00	2.11E+00
Sample18	4.66E+00	3.20E+00	2.93E+00	5.21E+00	4.80E+00	2.62E+00	9.74E+00	6.13E+00	8.29E+00
Sample19	8.40E+00	3.87E+00	3.20E+00	9.95E+00	3.88E+00	1.24E+01	0.00E+00	3.62E+00	1.75E+00
Sample20	3.97E+00	7.06E+00	7.16E+00	5.98E+00	6.91E+00	3.01E+00	0.00E+00	2.07E+00	4.71E+00
Sample21	4.22E+00	5.62E+00	3.84E+00	3.54E+00	8.20E+00	4.50E+00	5.38E+00	8.63E+00	1.10E+01
Sample22	2.50E+00	6.08E+00	7.86E+00	6.58E+00	3.38E+00	7.05E+00	1.25E-01	3.06E+00	5.73E+00
Sample23	5.59E+00	4.84E+00	4.78E+00	5.53E+00	4.38E+00	3.34E+00	1.00E+00	5.75E+00	5.72E+00
Sample24	6.59E+00	5.75E+00	0.00E+00	2.88E+00	8.08E+00	3.52E+00	2.37E+00	6.48E+00	4.42E+00
Sample25	4.54E+00	6.00E+00	3.17E+00	4.56E+00	5.41E+00	1.25E+00	5.35E+00	1.49E+00	6.28E+00
Sample26	5.64E+00	6.65E+00	6.74E+00	4.36E+00	2.22E+00	9.17E+00	1.25E-01	3.75E+00	3.28E+00
Sample27	7.37E+00	2.71E+00	5.16E+00	4.91E+00	5.12E+00	4.96E+00	0.00E+00	4.22E+00	2.70E+00
Sample28	3.85E+00	4.69E+00	5.23E+00	7.51E+00	5.63E+00	3.77E+00	2.38E+00	3.12E+00	2.11E+00
Sample29	2.45E+00	5.85E+00	9.97E+00	7.50E+00	0.00E+00	7.08E+00	1.37E+00	9.12E+00	5.00E+00
Sample30	5.26E+00	3.66E+00	4.91E+00	7.45E+00	3.69E+00	4.78E+00	4.50E+00	3.23E+00	4.74E+00
Sample31	5.73E+00	9.55E+00	2.80E+00	3.38E+00	5.37E+00	2.67E+00	5.09E+00	1.97E+00	1.07E+00
Sample32	2.42E+00	4.54E+00	4.15E+00	8.00E+00	8.01E+00	3.04E+00	2.38E+00	3.23E+00	2.23E+00
Sample33	5.88E+00	2.38E+00	4.68E+00	5.43E+00	4.94E+00	5.32E+00	3.45E+00	3.98E+00	0.00E+00
Sample34	6.21E+00	5.10E+00	6.56E+00	2.01E+00	7.81E+00	6.65E+00	3.75E-01	0.00E+00	6.90E+00
Sample35	2.14E+00	6.99E+00	4.55E+00	5.65E+00	7.58E+00	7.47E+00	2.81E+00	2.25E+00	1.36E+00
Sample36	5.46E+00	5.21E+00	2.17E+00	2.27E+00	8.14E+00	1.62E+00	0.00E+00	5.78E+00	5.33E+00
Sample37	3.25E+00	5.26E+00	7.29E+00	6.08E+00	3.89E+00	6.62E+00	4.77E+00	4.62E+00	2.25E+00
Sample38	9.43E+00	2.72E+00	6.52E+00	4.55E+00	3.46E+00	2.68E+00	3.25E+00	3.42E+00	4.74E+00
Sample39	5.65E+00	7.99E+00	0.00E+00	6.03E+00	6.24E+00	5.45E+00	2.38E+00	5.78E+00	5.82E+00
Sample40	2.78E+00	2.58E+00	2.53E+00	4.52E+00	3.38E+00	4.99E+00	0.00E+00	9.78E+00	1.13E+01
