Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1	26	0.971	5.458	20.992%	1.546	23.855%	0.107
Sample2	27	0.961	6.095	22.574%	1.852	27.608%	0.1186
Sample3	25	0.894	10.784	43.136%	2.733	44.93%	0.3662
Sample4	28	0.93	8.784	31.371%	2.609	36.897%	0.2714
Sample5	27	0.971	5.338	19.77%	1.558	23.759%	0.113
Sample6	25	0.928	8.462	33.848%	2.153	37.479%	0.2231
Sample7	27	0.942	7.985	29.574%	2.207	33.656%	0.2139
Sample8	28	0.975	5.239	18.711%	1.46	22.01%	0.098
Sample9	26	0.969	5.206	20.023%	1.529	24.804%	0.0763
Sample10	31	0.952	9.393	30.3%	2.363	30.764%	0.1454
Sample11	23	0.952	6.992	30.4%	1.76	30.638%	0.1507
Sample12	27	0.965	6.319	23.404%	1.635	26.181%	0.1016
Sample13	28	0.952	7.012	25.043%	2.046	30.845%	0.1931
