Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample1	3.80E+00	0.00E+00	1.00E+00	0.00E+00	1.80E+00	2.60E+00	1.11E+00	5.30E+00	2.13E+00
Sample2	0.00E+00	3.00E+00	2.86E+00	2.36E+00	1.96E+00	0.00E+00	2.73E+00	2.00E-01	2.71E+00
Sample3	0.00E+00	5.00E+00	0.00E+00	3.10E+00	0.00E+00	0.00E+00	0.00E+00	1.80E+00	5.79E+00
Sample4	6.07E+00	5.60E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.20E+00	5.20E+00
Sample5	0.00E+00	2.14E+00	3.81E+00	1.60E+00	3.80E+00	1.20E+00	4.20E+00	0.00E+00	2.14E+00
Sample6	0.00E+00	0.00E+00	0.00E+00	4.40E+00	1.80E+00	0.00E+00	0.00E+00	2.60E+00	0.00E+00
Sample7	0.00E+00	0.00E+00	4.84E+00	0.00E+00	5.40E+00	2.00E+00	5.40E+00	5.40E+00	1.00E+00
Sample8	2.20E+00	4.14E+00	2.94E+00	2.20E+00	4.00E-01	4.08E+00	2.56E+00	3.40E+00	1.20E+00
Sample9	5.08E+00	4.81E+00	3.40E+00	0.00E+00	0.00E+00	1.40E+00	6.00E-01	5.20E+00	0.00E+00
Sample10	0.00E+00	2.60E+00	6.06E+00	2.20E+00	8.00E-01	6.00E+00	0.00E+00	1.80E+00	4.00E-01
Sample11	4.66E+00	4.60E+00	1.00E+00	0.00E+00	4.60E+00	0.00E+00	8.00E-01	6.00E-01	3.10E+00
Sample12	2.80E+00	0.00E+00	5.40E+00	0.00E+00	2.32E+00	0.00E+00	5.40E+00	4.80E+00	3.44E+00
Sample13	0.00E+00	0.00E+00	0.00E+00	2.60E+00	5.44E+00	5.26E+00	5.43E+00	0.00E+00	3.80E+00
