Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	2.384	17.939	0.446	22.033	0.03
2	2.419	18.244	0.447	22.157	0.031
3	2.461	18.567	0.448	22.182	0.031
4	2.414	18.169	0.445	22.108	0.031
5	2.499	18.787	0.46	22.568	0.031
6	2.486	18.758	0.455	22.467	0.032
7	2.407	18.125	0.441	22.038	0.03
8	2.429	18.259	0.458	22.498	0.03
9	2.465	18.571	0.451	22.289	0.031
10	2.508	18.877	0.461	22.593	0.032
11	2.511	18.949	0.459	22.631	0.033
12	2.459	18.534	0.45	22.271	0.031
13	2.5	18.862	0.459	22.719	0.032
14	2.455	18.472	0.453	22.463	0.031
15	2.462	18.578	0.457	22.583	0.032
16	2.454	18.487	0.451	22.142	0.031
17	2.485	18.727	0.461	22.639	0.031
18	2.413	18.167	0.44	21.913	0.031
19	2.544	19.184	0.463	22.647	0.033
20	2.498	18.84	0.458	22.776	0.032
21	2.414	18.205	0.453	22.368	0.031
22	2.518	18.982	0.47	23.103	0.033
23	2.446	18.417	0.452	22.298	0.031
24	2.464	18.56	0.456	22.288	0.031
25	2.482	18.687	0.461	22.623	0.032
26	2.396	18.068	0.44	21.868	0.03
27	2.46	18.553	0.451	22.399	0.032
28	2.496	18.783	0.469	23.119	0.032
29	2.486	18.711	0.466	22.767	0.032
30	2.534	19.117	0.468	22.978	0.034
31	2.431	18.323	0.457	22.561	0.031
32	2.492	18.766	0.471	23.079	0.032
33	2.383	17.912	0.435	21.666	0.029
34	2.529	19.089	0.456	22.604	0.033
35	2.474	18.665	0.462	22.791	0.033
36	2.475	18.654	0.45	22.077	0.031
37	2.486	18.745	0.452	22.566	0.033
38	2.458	18.517	0.461	22.672	0.031
39	2.441	18.398	0.449	22.459	0.031
40	2.439	18.386	0.444	21.962	0.031
41	2.451	18.446	0.451	22.184	0.03
42	2.444	18.389	0.46	22.636	0.031
43	2.481	18.686	0.459	22.703	0.032
44	2.442	18.438	0.448	22.407	0.031
45	2.431	18.312	0.449	22.052	0.031
46	2.462	18.504	0.462	22.594	0.031
47	2.424	18.282	0.451	22.437	0.031
48	2.56	19.298	0.475	23.23	0.033
49	2.483	18.724	0.461	22.722	0.032
50	2.47	18.583	0.456	22.568	0.031
51	2.498	18.814	0.459	22.621	0.032
52	2.396	18.022	0.449	22.188	0.03
53	2.473	18.663	0.462	22.887	0.033
54	2.489	18.76	0.46	22.454	0.032
55	2.46	18.483	0.457	22.509	0.031
56	2.478	18.658	0.472	22.994	0.031
57	2.45	18.471	0.454	22.362	0.032
58	2.445	18.439	0.453	22.439	0.031
59	2.468	18.585	0.458	22.514	0.031
60	2.471	18.61	0.448	22.089	0.031
61	2.479	18.693	0.458	22.451	0.031
62	2.44	18.386	0.463	22.555	0.032
63	2.487	18.736	0.448	22.149	0.031
64	2.457	18.51	0.455	22.424	0.031
65	2.482	18.675	0.457	22.45	0.031
